bar,open,high,low,close,volume
1,100.0,100.28,99.88,100.05,9200
2,100.05,100.52,99.98,100.3,11500
3,100.3,100.48,99.92,100.05,10300
4,100.05,100.25,99.68,99.8,8800
5,99.8,100.7,99.72,100.1,13200
6,100.1,100.32,99.98,100.15,9700
7,100.15,100.3,99.7,99.8,8400
8,99.8,99.98,99.5,99.55,7600
9,99.55,100.35,99.52,100.25,10100
10,100.25,100.6,100.2,100.3,11800
11,100.3,100.55,100.15,100.25,9900
12,100.25,100.45,100.1,100.3,8600
13,100.3,100.4,100.15,100.22,7200
14,100.22,100.35,100.1,100.18,6800
15,100.18,100.28,100.05,100.12,6400
16,100.12,100.22,99.98,100.08,7100
17,100.08,100.2,99.95,100.05,6600
18,100.05,100.18,99.92,100.02,6900
19,100.02,100.15,99.9,100.0,7300
20,100.0,100.12,99.88,99.98,7800
21,99.98,100.1,99.85,99.95,8200
22,99.95,100.08,99.82,99.92,9000
23,99.92,100.05,99.8,99.9,9800
24,99.9,100.15,99.85,100.05,10600
25,100.05,100.4,100.0,100.3,12000
26,100.3,100.7,100.25,100.6,15000
27,100.6,100.95,100.5,100.85,18000
28,100.85,101.2,100.75,101.1,22000
29,101.1,101.45,101.0,101.3,26000
30,101.3,101.8,101.1,101.65,32000
