# TYPE: validation-run
# R001: expected indicator values/states, computed causally from the tape
# (short trailing history -> all bars DEGRADED per the honest §R7 row-6 rule)
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state,exp_reason
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED,warming
2,1788307200000000000,nan,warming,1788307200000000000,DEGRADED,warming
3,1788393600000000000,nan,warming,1788393600000000000,DEGRADED,warming
4,1788480000000000000,nan,warming,1788480000000000000,DEGRADED,warming
5,1788566400000000000,0.2018815754,normal,1788566400000000000,DEGRADED,short-trailing-history
6,1788652800000000000,0.2468057485,normal,1788652800000000000,DEGRADED,short-trailing-history
7,1788739200000000000,0.2874665257,elevated,1788739200000000000,DEGRADED,short-trailing-history
8,1788825600000000000,0.3342265427,elevated,1788825600000000000,DEGRADED,short-trailing-history
9,1788912000000000000,0.3778265182,elevated,1788912000000000000,DEGRADED,short-trailing-history
10,1788998400000000000,0.4270038412,elevated,1788998400000000000,DEGRADED,short-trailing-history
11,1789084800000000000,0.4269138402,elevated,1789084800000000000,DEGRADED,short-trailing-history
12,1789171200000000000,0.4276260337,elevated,1789171200000000000,DEGRADED,short-trailing-history
13,1789257600000000000,0.4204706492,normal,1789257600000000000,DEGRADED,short-trailing-history
14,1789344000000000000,0.4110119718,normal,1789344000000000000,DEGRADED,short-trailing-history
15,1789430400000000000,0.3927501608,normal,1789430400000000000,DEGRADED,short-trailing-history
16,1789516800000000000,0.3927501503,normal,1789516800000000000,DEGRADED,short-trailing-history
17,1789603200000000000,0.3927501301,normal,1789603200000000000,DEGRADED,short-trailing-history
18,1789689600000000000,0.3927501216,normal,1789689600000000000,DEGRADED,short-trailing-history
19,1789776000000000000,0.3927501025,normal,1789776000000000000,DEGRADED,short-trailing-history
20,1789862400000000000,0.3927500935,normal,1789862400000000000,DEGRADED,short-trailing-history
21,1789948800000000000,0.3927500952,normal,1789948800000000000,DEGRADED,short-trailing-history
22,1790035200000000000,0.3927501061,normal,1790035200000000000,DEGRADED,short-trailing-history
23,1790121600000000000,0.3927501049,normal,1790121600000000000,DEGRADED,short-trailing-history
24,1790208000000000000,0.3927500924,normal,1790208000000000000,DEGRADED,short-trailing-history
25,1790294400000000000,0.8766428051,extreme,1790294400000000000,DEGRADED,short-trailing-history
26,1790380800000000000,0.8756505095,extreme,1790380800000000000,DEGRADED,short-trailing-history
27,1790467200000000000,0.8736913697,elevated,1790467200000000000,DEGRADED,short-trailing-history
28,1790553600000000000,0.8707878081,elevated,1790553600000000000,DEGRADED,short-trailing-history
29,1790640000000000000,0.8669594065,elevated,1790640000000000000,DEGRADED,short-trailing-history
30,1790726400000000000,0.3594143054,normal,1790726400000000000,DEGRADED,short-trailing-history
