# TYPE: validation-run
# R001 — Realized-volatility level regime: synthetic input tape, seed 9001 [example]
# bars 1-10: calm->elevated; 11-24: flat moderate vol; 25: spike (extreme entry);
# 26: decay inside hysteresis band (hold); 27: exit to elevated; 30: spike aged out.
bar,event_ts,asof_ts,o,h,l,c
1,1788220800000000000,1788220860000000000,100.0,101.2,99.1,100.4
2,1788307200000000000,1788307260000000000,100.4,101.5,99.6,100.9
3,1788393600000000000,1788393660000000000,100.9,101.8,100.0,101.2
4,1788480000000000000,1788480060000000000,101.2,102.1,100.3,101.6
5,1788566400000000000,1788566460000000000,101.6,102.4,100.8,102.0
6,1788652800000000000,1788652860000000000,102.0,103.8,100.2,101.5
7,1788739200000000000,1788739260000000000,101.5,103.5,99.8,102.8
8,1788825600000000000,1788825660000000000,102.8,104.9,100.9,103.6
9,1788912000000000000,1788912060000000000,103.6,105.8,101.7,104.2
10,1788998400000000000,1788998460000000000,104.2,106.5,102.0,105.1
11,1789084800000000000,1789084860000000000,105.1,106.955438,103.27675,105.205153
12,1789171200000000000,1789171260000000000,105.205153,107.062447,103.380078,105.31041
13,1789257600000000000,1789257660000000000,105.31041,107.169563,103.48351,105.415773
14,1789344000000000000,1789344060000000000,105.415773,107.276786,103.587045,105.521242
15,1789430400000000000,1789430460000000000,105.521242,107.384116,103.690684,105.626816
16,1789516800000000000,1789516860000000000,105.626816,107.491554,103.794427,105.732496
17,1789603200000000000,1789603260000000000,105.732496,107.599099,103.898273,105.838281
18,1789689600000000000,1789689660000000000,105.838281,107.706752,104.002223,105.944172
19,1789776000000000000,1789776060000000000,105.944172,107.814513,104.106278,106.050169
20,1789862400000000000,1789862460000000000,106.050169,107.922381,104.210436,106.156273
21,1789948800000000000,1789948860000000000,106.156273,108.030358,104.314699,106.262482
22,1790035200000000000,1790035260000000000,106.262482,108.138442,104.419065,106.368798
23,1790121600000000000,1790121660000000000,106.368798,108.246635,104.523537,106.47522
24,1790208000000000000,1790208060000000000,106.47522,108.354935,104.628113,106.581748
25,1790294400000000000,1790294460000000000,106.581748,115.458629,98.387354,106.688383
26,1790380800000000000,1790380860000000000,106.688383,108.51759,104.89001,106.795125
27,1790467200000000000,1790467260000000000,106.795125,108.571862,105.047463,106.901973
28,1790553600000000000,1790553660000000000,106.901973,108.626162,105.205153,107.008929
29,1790640000000000000,1790640060000000000,107.008929,108.680488,105.363079,107.115991
30,1790726400000000000,1790726460000000000,107.115991,108.734842,105.521242,107.223161
