# TYPE: validation-run
# R002: expected indicator values/states, computed causally from the tape
# by the chapter's normative machine (leave-one-out z, hysteresis bands).
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,4.0000000000,warming,1788220800000000000,DEGRADED
2,1788307200000000000,4.5000000000,warming,1788307200000000000,DEGRADED
3,1788393600000000000,5.0000000000,warming,1788393600000000000,DEGRADED
4,1788480000000000000,4.2000000000,warming,1788480000000000000,DEGRADED
5,1788566400000000000,3.6421206990,fear,1788566400000000000,OK
6,1788652800000000000,3.6513218792,fear,1788652800000000000,OK
7,1788739200000000000,3.9090477473,normal,1788739200000000000,OK
8,1788825600000000000,5.0929587227,complacent,1788825600000000000,OK
9,1788912000000000000,4.8199371001,complacent,1788912000000000000,OK
10,1788998400000000000,4.5654918818,normal,1788998400000000000,OK
