# TYPE: validation-run
# R002 — Implied-vs-realized spread (variance risk premium): synthetic input tape, seed 9002 [example]
# Fixture config overrides (chapter defaults in §R0.2): z_window_days=5 [example], z_window_min_bars=4 [example].
# vix = 15 + VRP_volpts, rv30 = 0.15 constant [example]; VRP_volpts = vix - 100*rv30 is exact by construction.
bar,event_ts,asof_ts,vix,rv30
1,1788220800000000000,1788224400000000000,19.0000000000,0.1500000000
2,1788307200000000000,1788310800000000000,19.5000000000,0.1500000000
3,1788393600000000000,1788397200000000000,20.0000000000,0.1500000000
4,1788480000000000000,1788483600000000000,19.2000000000,0.1500000000
5,1788566400000000000,1788570000000000000,18.6421206990,0.1500000000
6,1788652800000000000,1788656400000000000,18.6513218792,0.1500000000
7,1788739200000000000,1788742800000000000,18.9090477473,0.1500000000
8,1788825600000000000,1788829200000000000,20.0929587227,0.1500000000
9,1788912000000000000,1788915600000000000,19.8199371001,0.1500000000
10,1788998400000000000,1789002000000000000,19.5654918818,0.1500000000
