# TYPE: validation-run
# R003: expected indicator values/states for the edge-case tape (see R003_edge_tape.csv header).
# exp_value empty for invalid rows (value is NaN); integer fields exact.
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.1000000000,flat,1788220800000000000,OK
2,1788307200000000000,-0.0500000000,flat,1788307200000000000,OK
3,1788393600000000000,-0.0600000000,backwardation,1788393600000000000,OK
4,1788480000000000000,-0.0210000000,backwardation,1788480000000000000,OK
5,1788566400000000000,-0.0190000000,flat,1788566400000000000,OK
6,1788652800000000000,0.1200000000,contango,1788652800000000000,OK
7,1788739200000000000,0.0750000000,contango,1788739200000000000,OK
8,1788825600000000000,0.0600000000,flat,1788825600000000000,OK
9,1788912000000000000,,missing,1788912000000000000,UNKNOWN
10,1788998400000000000,,invalid,1788998400000000000,UNKNOWN
11,1789084800000000000,0.1000000000,flat,1789084800000000000,OK
