# TYPE: validation-run
# R003 — Volatility term-structure slope: edge-case tape, seed 9003 [example]
# Pins: exact entry boundaries (strict >, < -> no entry from flat),
# hysteresis hold just inside the exit bands, exit just outside the bands,
# missing-field and non-positive input rows, recovery after invalid.
# Rows: 1: slope=+0.10 exact, flat -> flat (no entry)
#       2: slope=-0.05 exact, flat -> flat (no entry)
#       3: slope=-0.06 -> backwardation (entry)
#       4: slope=-0.021, prev=backwardation -> backwardation (hysteresis hold, exit band at -0.02)
#       5: slope=-0.019 -> flat (exit)
#       6: slope=+0.12 -> contango (entry)
#       7: slope=+0.075, prev=contango -> contango (hysteresis hold, exit band at +0.07)
#       8: slope=+0.06 -> flat (exit)
#       9: missing vix -> UNKNOWN/missing
#      10: vix=0 -> UNKNOWN/invalid
#      11: slope=+0.10 after invalid -> flat (prev treated as flat, recovery)
bar,event_ts,asof_ts,vix,vix3m
1,1788220800000000000,1788224400000000000,20.0,22.0
2,1788307200000000000,1788310800000000000,20.0,19.0
3,1788393600000000000,1788397200000000000,20.0,18.8
4,1788480000000000000,1788483600000000000,20.0,19.58
5,1788566400000000000,1788570000000000000,20.0,19.62
6,1788652800000000000,1788656400000000000,20.0,22.4
7,1788739200000000000,1788742800000000000,20.0,21.5
8,1788825600000000000,1788829200000000000,20.0,21.2
9,1788912000000000000,1788915600000000000,,20.0
10,1788998400000000000,1789002000000000000,0.0,20.0
11,1789084800000000000,1789088400000000000,20.0,22.0
