# TYPE: validation-run
# R003 — Volatility term-structure slope: synthetic input tape, seed 9003 [example]
bar,event_ts,asof_ts,vix,vix3m
1,1788220800000000000,1788224400000000000,18.0,22.0
2,1788307200000000000,1788310800000000000,19.0,22.5
3,1788393600000000000,1788397200000000000,21.0,23.0
4,1788480000000000000,1788483600000000000,26.0,24.5
5,1788566400000000000,1788570000000000000,30.0,26.0
6,1788652800000000000,1788656400000000000,24.0,23.0
7,1788739200000000000,1788742800000000000,20.0,22.0
8,1788825600000000000,1788829200000000000,19.0,21.5
9,1788912000000000000,1788915600000000000,18.0,21.0
10,1788998400000000000,1789002000000000000,17.5,20.5
