# TYPE: validation-run
# R004: expected per-bar indicator values/states, computed causally from the tape
# by the chapter's reference implementation (test_R004.causal_path), tolerance 1e-9 [default]
bar,event_ts,exp_value,exp_state,exp_half_life_d,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,nan,1788220800000000000,DEGRADED
2,1788307200000000000,nan,warming,nan,1788307200000000000,DEGRADED
3,1788393600000000000,nan,warming,nan,1788393600000000000,DEGRADED
4,1788480000000000000,nan,warming,nan,1788480000000000000,DEGRADED
5,1788566400000000000,nan,warming,nan,1788566400000000000,DEGRADED
6,1788652800000000000,nan,warming,nan,1788652800000000000,DEGRADED
7,1788739200000000000,nan,warming,nan,1788739200000000000,DEGRADED
8,1788825600000000000,nan,warming,nan,1788825600000000000,DEGRADED
9,1788912000000000000,nan,warming,nan,1788912000000000000,DEGRADED
10,1788998400000000000,nan,warming,nan,1788998400000000000,DEGRADED
11,1789084800000000000,nan,warming,nan,1789084800000000000,DEGRADED
12,1789171200000000000,nan,warming,nan,1789171200000000000,DEGRADED
13,1789257600000000000,nan,warming,nan,1789257600000000000,DEGRADED
14,1789344000000000000,nan,warming,nan,1789344000000000000,DEGRADED
15,1789430400000000000,nan,warming,nan,1789430400000000000,DEGRADED
16,1789516800000000000,nan,warming,nan,1789516800000000000,DEGRADED
17,1789603200000000000,nan,warming,nan,1789603200000000000,DEGRADED
18,1789689600000000000,nan,warming,nan,1789689600000000000,DEGRADED
19,1789776000000000000,nan,warming,nan,1789776000000000000,DEGRADED
20,1789862400000000000,nan,warming,nan,1789862400000000000,DEGRADED
21,1789948800000000000,nan,warming,nan,1789948800000000000,DEGRADED
22,1790035200000000000,nan,warming,nan,1790035200000000000,DEGRADED
23,1790121600000000000,nan,warming,nan,1790121600000000000,DEGRADED
24,1790208000000000000,nan,warming,nan,1790208000000000000,DEGRADED
25,1790294400000000000,nan,warming,nan,1790294400000000000,DEGRADED
26,1790380800000000000,nan,warming,nan,1790380800000000000,DEGRADED
27,1790467200000000000,nan,warming,nan,1790467200000000000,DEGRADED
28,1790553600000000000,nan,warming,nan,1790553600000000000,DEGRADED
29,1790640000000000000,nan,warming,nan,1790640000000000000,DEGRADED
30,1790726400000000000,nan,warming,nan,1790726400000000000,DEGRADED
31,1790812800000000000,nan,warming,nan,1790812800000000000,DEGRADED
32,1790899200000000000,nan,warming,nan,1790899200000000000,DEGRADED
33,1790985600000000000,nan,warming,nan,1790985600000000000,DEGRADED
34,1791072000000000000,nan,warming,nan,1791072000000000000,DEGRADED
35,1791158400000000000,nan,warming,nan,1791158400000000000,DEGRADED
36,1791244800000000000,nan,warming,nan,1791244800000000000,DEGRADED
37,1791331200000000000,nan,warming,nan,1791331200000000000,DEGRADED
38,1791417600000000000,nan,warming,nan,1791417600000000000,DEGRADED
39,1791504000000000000,nan,warming,nan,1791504000000000000,DEGRADED
40,1791590400000000000,nan,warming,nan,1791590400000000000,DEGRADED
41,1791676800000000000,nan,warming,nan,1791676800000000000,DEGRADED
42,1791763200000000000,nan,warming,nan,1791763200000000000,DEGRADED
43,1791849600000000000,nan,warming,nan,1791849600000000000,DEGRADED
44,1791936000000000000,nan,warming,nan,1791936000000000000,DEGRADED
45,1792022400000000000,nan,warming,nan,1792022400000000000,DEGRADED
46,1792108800000000000,nan,warming,nan,1792108800000000000,DEGRADED
47,1792195200000000000,nan,warming,nan,1792195200000000000,DEGRADED
48,1792281600000000000,nan,warming,nan,1792281600000000000,DEGRADED
49,1792368000000000000,nan,warming,nan,1792368000000000000,DEGRADED
50,1792454400000000000,nan,warming,nan,1792454400000000000,DEGRADED
51,1792540800000000000,nan,warming,nan,1792540800000000000,DEGRADED
52,1792627200000000000,nan,warming,nan,1792627200000000000,DEGRADED
53,1792713600000000000,nan,warming,nan,1792713600000000000,DEGRADED
54,1792800000000000000,nan,warming,nan,1792800000000000000,DEGRADED
55,1792886400000000000,nan,warming,nan,1792886400000000000,DEGRADED
56,1792972800000000000,nan,warming,nan,1792972800000000000,DEGRADED
57,1793059200000000000,nan,warming,nan,1793059200000000000,DEGRADED
58,1793145600000000000,nan,warming,nan,1793145600000000000,DEGRADED
59,1793232000000000000,nan,warming,nan,1793232000000000000,DEGRADED
60,1793318400000000000,nan,warming,nan,1793318400000000000,DEGRADED
61,1793404800000000000,nan,warming,nan,1793404800000000000,DEGRADED
62,1793491200000000000,nan,warming,nan,1793491200000000000,DEGRADED
63,1793577600000000000,nan,warming,nan,1793577600000000000,DEGRADED
64,1793664000000000000,nan,warming,nan,1793664000000000000,DEGRADED
65,1793750400000000000,nan,warming,nan,1793750400000000000,DEGRADED
66,1793836800000000000,nan,warming,nan,1793836800000000000,DEGRADED
67,1793923200000000000,nan,warming,nan,1793923200000000000,DEGRADED
68,1794009600000000000,nan,warming,nan,1794009600000000000,DEGRADED
69,1794096000000000000,nan,warming,nan,1794096000000000000,DEGRADED
70,1794182400000000000,nan,warming,nan,1794182400000000000,DEGRADED
71,1794268800000000000,nan,warming,nan,1794268800000000000,DEGRADED
72,1794355200000000000,nan,warming,nan,1794355200000000000,DEGRADED
73,1794441600000000000,nan,warming,nan,1794441600000000000,DEGRADED
74,1794528000000000000,nan,warming,nan,1794528000000000000,DEGRADED
75,1794614400000000000,nan,warming,nan,1794614400000000000,DEGRADED
76,1794700800000000000,nan,warming,nan,1794700800000000000,DEGRADED
77,1794787200000000000,nan,warming,nan,1794787200000000000,DEGRADED
78,1794873600000000000,nan,warming,nan,1794873600000000000,DEGRADED
79,1794960000000000000,nan,warming,nan,1794960000000000000,DEGRADED
80,1795046400000000000,nan,warming,nan,1795046400000000000,DEGRADED
81,1795132800000000000,nan,warming,nan,1795132800000000000,DEGRADED
82,1795219200000000000,nan,warming,nan,1795219200000000000,DEGRADED
83,1795305600000000000,nan,warming,nan,1795305600000000000,DEGRADED
84,1795392000000000000,nan,warming,nan,1795392000000000000,DEGRADED
85,1795478400000000000,nan,warming,nan,1795478400000000000,DEGRADED
86,1795564800000000000,nan,warming,nan,1795564800000000000,DEGRADED
87,1795651200000000000,nan,warming,nan,1795651200000000000,DEGRADED
88,1795737600000000000,nan,warming,nan,1795737600000000000,DEGRADED
89,1795824000000000000,nan,warming,nan,1795824000000000000,DEGRADED
90,1795910400000000000,nan,warming,nan,1795910400000000000,DEGRADED
91,1795996800000000000,nan,warming,nan,1795996800000000000,DEGRADED
92,1796083200000000000,nan,warming,nan,1796083200000000000,DEGRADED
93,1796169600000000000,nan,warming,nan,1796169600000000000,DEGRADED
94,1796256000000000000,nan,warming,nan,1796256000000000000,DEGRADED
95,1796342400000000000,nan,warming,nan,1796342400000000000,DEGRADED
96,1796428800000000000,nan,warming,nan,1796428800000000000,DEGRADED
97,1796515200000000000,nan,warming,nan,1796515200000000000,DEGRADED
