# TYPE: validation-run
# R004 — Volatility clustering / persistence state: synthetic input tape, seed 9004 [example]
# 280 daily closes: calm (bars 1-130) -> clustered true-GARCH(1,1) pi=0.97 (131-199) -> calm (200-280)
bar,event_ts,asof_ts,c
1,1788220800000000000,1788224400000000000,100.0
2,1788307200000000000,1788310800000000000,100.45106872849831
3,1788393600000000000,1788397200000000000,100.42353545553728
4,1788480000000000000,1788483600000000000,100.60760345309527
5,1788566400000000000,1788570000000000000,100.32317912888844
6,1788652800000000000,1788656400000000000,100.36041600862107
7,1788739200000000000,1788742800000000000,100.29374418391937
8,1788825600000000000,1788829200000000000,100.98921488225257
9,1788912000000000000,1788915600000000000,101.25574956408688
10,1788998400000000000,1789002000000000000,101.52815804694154
11,1789084800000000000,1789088400000000000,101.77541474768417
12,1789171200000000000,1789174800000000000,101.851880871071
13,1789257600000000000,1789261200000000000,102.03418761307312
14,1789344000000000000,1789347600000000000,102.2715734507112
15,1789430400000000000,1789434000000000000,102.27287125151524
16,1789516800000000000,1789520400000000000,101.95602307238116
17,1789603200000000000,1789606800000000000,102.32292038086041
18,1789689600000000000,1789693200000000000,102.53413227633398
19,1789776000000000000,1789779600000000000,102.44000275016478
20,1789862400000000000,1789866000000000000,102.94331582212759
21,1789948800000000000,1789952400000000000,102.74068310533714
22,1790035200000000000,1790038800000000000,102.23833902390187
23,1790121600000000000,1790125200000000000,101.9880119958331
24,1790208000000000000,1790211600000000000,102.17138515667277
25,1790294400000000000,1790298000000000000,102.26797011846465
26,1790380800000000000,1790384400000000000,101.92651701284494
27,1790467200000000000,1790470800000000000,101.7127506285
28,1790553600000000000,1790557200000000000,101.93314971211387
29,1790640000000000000,1790643600000000000,101.49156885329381
30,1790726400000000000,1790730000000000000,101.79965841446632
31,1790812800000000000,1790816400000000000,101.72697632515816
32,1790899200000000000,1790902800000000000,101.71888658066703
33,1790985600000000000,1790989200000000000,102.86633755823854
34,1791072000000000000,1791075600000000000,102.54831217612043
35,1791158400000000000,1791162000000000000,102.07296918353447
36,1791244800000000000,1791248400000000000,102.33448483946695
