# TYPE: validation-run
# R005: expected per-bar J/state for the hysteresis tape, computed causally (expanding window)
# by the chapter reference implementation. Hysteresis: lo=0.10 [default], hi=0.25 [default], h=0.05 [default].
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788221100000000000,nan,warming,1788221100000000000,DEGRADED
3,1788221400000000000,nan,warming,1788221400000000000,DEGRADED
4,1788221700000000000,nan,warming,1788221700000000000,DEGRADED
5,1788222000000000000,nan,warming,1788222000000000000,DEGRADED
6,1788222300000000000,nan,warming,1788222300000000000,DEGRADED
7,1788222600000000000,nan,warming,1788222600000000000,DEGRADED
8,1788222900000000000,nan,warming,1788222900000000000,DEGRADED
9,1788223200000000000,nan,warming,1788223200000000000,DEGRADED
10,1788223500000000000,0.0000000000,diffusion,1788223500000000000,OK
11,1788223800000000000,0.2179030899,jumpy,1788223800000000000,OK
12,1788224100000000000,0.0864158567,jumpy,1788224100000000000,OK
13,1788224400000000000,0.4381956860,jump_dominated,1788224400000000000,OK
14,1788224700000000000,0.2993763956,jump_dominated,1788224700000000000,OK
15,1788225000000000000,0.4778206721,jump_dominated,1788225000000000000,OK
16,1788225300000000000,0.3970129162,jump_dominated,1788225300000000000,OK
17,1788225600000000000,0.3899533965,jump_dominated,1788225600000000000,OK
18,1788225900000000000,0.3812590740,jump_dominated,1788225900000000000,OK
19,1788226200000000000,0.3785349766,jump_dominated,1788226200000000000,OK
20,1788226500000000000,0.3747879012,jump_dominated,1788226500000000000,OK
21,1788226800000000000,0.3662231037,jump_dominated,1788226800000000000,OK
22,1788227100000000000,0.3575845792,jump_dominated,1788227100000000000,OK
23,1788227400000000000,0.3541117106,jump_dominated,1788227400000000000,OK
24,1788227700000000000,0.3460640384,jump_dominated,1788227700000000000,OK
25,1788228000000000000,0.3379396504,jump_dominated,1788228000000000000,OK
26,1788228300000000000,0.3332169725,jump_dominated,1788228300000000000,OK
27,1788228600000000000,0.3276260671,jump_dominated,1788228600000000000,OK
28,1788228900000000000,0.3197426882,jump_dominated,1788228900000000000,OK
29,1788229200000000000,0.3174468542,jump_dominated,1788229200000000000,OK
30,1788229500000000000,0.3144754059,jump_dominated,1788229500000000000,OK
31,1788229800000000000,0.3072633633,jump_dominated,1788229800000000000,OK
32,1788230100000000000,0.2994655977,jump_dominated,1788230100000000000,OK
33,1788230400000000000,0.2967067340,jump_dominated,1788230400000000000,OK
34,1788230700000000000,0.2897946555,jump_dominated,1788230700000000000,OK
35,1788231000000000000,0.2825170646,jump_dominated,1788231000000000000,OK
36,1788231300000000000,0.2784707085,jump_dominated,1788231300000000000,OK
37,1788231600000000000,0.2740192392,jump_dominated,1788231600000000000,OK
38,1788231900000000000,0.2668129645,jump_dominated,1788231900000000000,OK
39,1788232200000000000,0.2648566455,jump_dominated,1788232200000000000,OK
40,1788232500000000000,0.2624892773,jump_dominated,1788232500000000000,OK
41,1788232800000000000,0.2563520261,jump_dominated,1788232800000000000,OK
42,1788233100000000000,0.2492538877,jump_dominated,1788233100000000000,OK
43,1788233400000000000,0.2470539275,jump_dominated,1788233400000000000,OK
44,1788233700000000000,0.2410551020,jump_dominated,1788233700000000000,OK
45,1788234000000000000,0.2344781459,jump_dominated,1788234000000000000,OK
46,1788234300000000000,0.2309760614,jump_dominated,1788234300000000000,OK
47,1788234600000000000,0.2274223886,jump_dominated,1788234600000000000,OK
48,1788234900000000000,0.2207893586,jump_dominated,1788234900000000000,OK
49,1788235200000000000,0.2191064586,jump_dominated,1788235200000000000,OK
50,1788235500000000000,0.2172166193,jump_dominated,1788235500000000000,OK
51,1788235800000000000,0.2119463942,jump_dominated,1788235800000000000,OK
52,1788236100000000000,0.2054385186,jump_dominated,1788236100000000000,OK
53,1788236400000000000,0.2036822947,jump_dominated,1788236400000000000,OK
54,1788236700000000000,0.1984287294,jumpy,1788236700000000000,OK
55,1788237000000000000,0.1924395124,jumpy,1788237000000000000,OK
56,1788237300000000000,0.1893817186,jumpy,1788237300000000000,OK
57,1788237600000000000,0.1865448950,jumpy,1788237600000000000,OK
58,1788237900000000000,0.1804030135,jumpy,1788237900000000000,OK
59,1788238200000000000,0.1789433284,jumpy,1788238200000000000,OK
60,1788238500000000000,0.1774358466,jumpy,1788238500000000000,OK
61,1788238800000000000,0.1728743592,jumpy,1788238800000000000,OK
62,1788239100000000000,0.1668704565,jumpy,1788239100000000000,OK
63,1788239400000000000,0.1654708675,jumpy,1788239400000000000,OK
64,1788239700000000000,0.1608332859,jumpy,1788239700000000000,OK
65,1788240000000000000,0.1553430503,jumpy,1788240000000000000,OK
66,1788240300000000000,0.1526524814,jumpy,1788240300000000000,OK
67,1788240600000000000,0.1503946433,jumpy,1788240600000000000,OK
68,1788240900000000000,0.1446779691,jumpy,1788240900000000000,OK
69,1788241200000000000,0.1434027058,jumpy,1788241200000000000,OK
70,1788241500000000000,0.1422047992,jumpy,1788241500000000000,OK
71,1788241800000000000,0.1382294270,jumpy,1788241800000000000,OK
72,1788242100000000000,0.1326603341,jumpy,1788242100000000000,OK
73,1788242400000000000,0.1315504386,jumpy,1788242400000000000,OK
74,1788242700000000000,0.1274277474,jumpy,1788242700000000000,OK
75,1788243000000000000,0.1223656229,jumpy,1788243000000000000,OK
76,1788243300000000000,0.1199819364,jumpy,1788243300000000000,OK
77,1788243600000000000,0.1181964401,jumpy,1788243600000000000,OK
78,1788243900000000000,0.1128512602,jumpy,1788243900000000000,OK
79,1788244200000000000,0.1117299862,jumpy,1788244200000000000,OK
80,1788244500000000000,0.1107851693,jumpy,1788244500000000000,OK
81,1788244800000000000,0.1072995122,jumpy,1788244800000000000,OK
82,1788245100000000000,0.1021090217,jumpy,1788245100000000000,OK
83,1788245400000000000,0.1012366397,jumpy,1788245400000000000,OK
84,1788245700000000000,0.0975486548,jumpy,1788245700000000000,OK
85,1788246000000000000,0.0928572740,jumpy,1788246000000000000,OK
86,1788246300000000000,0.0907325610,jumpy,1788246300000000000,OK
87,1788246600000000000,0.0893358004,jumpy,1788246600000000000,OK
88,1788246900000000000,0.0843178169,jumpy,1788246900000000000,OK
89,1788247200000000000,0.0833263366,jumpy,1788247200000000000,OK
90,1788247500000000000,0.0825901971,jumpy,1788247500000000000,OK
91,1788247800000000000,0.0795174739,jumpy,1788247800000000000,OK
92,1788248100000000000,0.0746593441,jumpy,1788248100000000000,OK
93,1788248400000000000,0.0739832887,jumpy,1788248400000000000,OK
94,1788248700000000000,0.0706656018,jumpy,1788248700000000000,OK
95,1788249000000000000,0.0662979594,jumpy,1788249000000000000,OK
96,1788249300000000000,0.0643937088,jumpy,1788249300000000000,OK
97,1788249600000000000,0.0633193529,jumpy,1788249600000000000,OK
98,1788249900000000000,0.0585916287,jumpy,1788249900000000000,OK
99,1788250200000000000,0.0577104736,jumpy,1788250200000000000,OK
100,1788250500000000000,0.0571476846,jumpy,1788250500000000000,OK
101,1788250800000000000,0.0544260219,jumpy,1788250800000000000,OK
102,1788251100000000000,0.0498617918,diffusion,1788251100000000000,OK
103,1788251400000000000,0.0493491879,diffusion,1788251400000000000,OK
104,1788251700000000000,0.0463494737,diffusion,1788251700000000000,OK
105,1788252000000000000,0.0422666332,diffusion,1788252000000000000,OK
