# TYPE: validation-run
# R005 - hysteresis fixture: separated spikes drive diffusion->jumpy->jump_dominated->jumpy->diffusion;
# expanding-window BNS J [example]; all numbers synthetic, seed 9005 [example]
bar,event_ts,asof_ts,r,adj_flag
1,1788220800000000000,1788220801000000000,0.0012,split_adjusted
2,1788221100000000000,1788221101000000000,-0.0008,split_adjusted
3,1788221400000000000,1788221401000000000,0.0009,split_adjusted
4,1788221700000000000,1788221701000000000,-0.0011,split_adjusted
5,1788222000000000000,1788222001000000000,0.0010,split_adjusted
6,1788222300000000000,1788222301000000000,-0.0007,split_adjusted
7,1788222600000000000,1788222601000000000,0.0013,split_adjusted
8,1788222900000000000,1788222901000000000,-0.0009,split_adjusted
9,1788223200000000000,1788223201000000000,0.0008,split_adjusted
10,1788223500000000000,1788223501000000000,-0.0012,split_adjusted
11,1788223800000000000,1788223801000000000,0.0040,split_adjusted
12,1788224100000000000,1788224101000000000,-0.0006,split_adjusted
13,1788224400000000000,1788224401000000000,0.0050,split_adjusted
14,1788224700000000000,1788224701000000000,-0.0010,split_adjusted
15,1788225000000000000,1788225001000000000,0.0060,split_adjusted
16,1788225300000000000,1788225301000000000,-0.0008,split_adjusted
17,1788225600000000000,1788225601000000000,0.0012,split_adjusted
18,1788225900000000000,1788225901000000000,-0.0005,split_adjusted
19,1788226200000000000,1788226201000000000,0.0006,split_adjusted
20,1788226500000000000,1788226501000000000,-0.0009,split_adjusted
21,1788226800000000000,1788226801000000000,0.0011,split_adjusted
22,1788227100000000000,1788227101000000000,-0.0006,split_adjusted
23,1788227400000000000,1788227401000000000,0.0009,split_adjusted
24,1788227700000000000,1788227701000000000,-0.0010,split_adjusted
25,1788228000000000000,1788228001000000000,0.0007,split_adjusted
26,1788228300000000000,1788228301000000000,-0.0008,split_adjusted
27,1788228600000000000,1788228601000000000,0.0012,split_adjusted
28,1788228900000000000,1788228901000000000,-0.0005,split_adjusted
29,1788229200000000000,1788229201000000000,0.0006,split_adjusted
30,1788229500000000000,1788229501000000000,-0.0009,split_adjusted
31,1788229800000000000,1788229801000000000,0.0011,split_adjusted
32,1788230100000000000,1788230101000000000,-0.0006,split_adjusted
33,1788230400000000000,1788230401000000000,0.0009,split_adjusted
34,1788230700000000000,1788230701000000000,-0.0010,split_adjusted
35,1788231000000000000,1788231001000000000,0.0007,split_adjusted
36,1788231300000000000,1788231301000000000,-0.0008,split_adjusted
37,1788231600000000000,1788231601000000000,0.0012,split_adjusted
38,1788231900000000000,1788231901000000000,-0.0005,split_adjusted
39,1788232200000000000,1788232201000000000,0.0006,split_adjusted
40,1788232500000000000,1788232501000000000,-0.0009,split_adjusted
41,1788232800000000000,1788232801000000000,0.0011,split_adjusted
42,1788233100000000000,1788233101000000000,-0.0006,split_adjusted
43,1788233400000000000,1788233401000000000,0.0009,split_adjusted
44,1788233700000000000,1788233701000000000,-0.0010,split_adjusted
45,1788234000000000000,1788234001000000000,0.0007,split_adjusted
46,1788234300000000000,1788234301000000000,-0.0008,split_adjusted
47,1788234600000000000,1788234601000000000,0.0012,split_adjusted
48,1788234900000000000,1788234901000000000,-0.0005,split_adjusted
49,1788235200000000000,1788235201000000000,0.0006,split_adjusted
50,1788235500000000000,1788235501000000000,-0.0009,split_adjusted
51,1788235800000000000,1788235801000000000,0.0011,split_adjusted
52,1788236100000000000,1788236101000000000,-0.0006,split_adjusted
53,1788236400000000000,1788236401000000000,0.0009,split_adjusted
54,1788236700000000000,1788236701000000000,-0.0010,split_adjusted
55,1788237000000000000,1788237001000000000,0.0007,split_adjusted
56,1788237300000000000,1788237301000000000,-0.0008,split_adjusted
57,1788237600000000000,1788237601000000000,0.0012,split_adjusted
58,1788237900000000000,1788237901000000000,-0.0005,split_adjusted
59,1788238200000000000,1788238201000000000,0.0006,split_adjusted
60,1788238500000000000,1788238501000000000,-0.0009,split_adjusted
61,1788238800000000000,1788238801000000000,0.0011,split_adjusted
62,1788239100000000000,1788239101000000000,-0.0006,split_adjusted
63,1788239400000000000,1788239401000000000,0.0009,split_adjusted
64,1788239700000000000,1788239701000000000,-0.0010,split_adjusted
65,1788240000000000000,1788240001000000000,0.0007,split_adjusted
66,1788240300000000000,1788240301000000000,-0.0008,split_adjusted
67,1788240600000000000,1788240601000000000,0.0012,split_adjusted
68,1788240900000000000,1788240901000000000,-0.0005,split_adjusted
69,1788241200000000000,1788241201000000000,0.0006,split_adjusted
70,1788241500000000000,1788241501000000000,-0.0009,split_adjusted
71,1788241800000000000,1788241801000000000,0.0011,split_adjusted
72,1788242100000000000,1788242101000000000,-0.0006,split_adjusted
73,1788242400000000000,1788242401000000000,0.0009,split_adjusted
74,1788242700000000000,1788242701000000000,-0.0010,split_adjusted
75,1788243000000000000,1788243001000000000,0.0007,split_adjusted
76,1788243300000000000,1788243301000000000,-0.0008,split_adjusted
77,1788243600000000000,1788243601000000000,0.0012,split_adjusted
78,1788243900000000000,1788243901000000000,-0.0005,split_adjusted
79,1788244200000000000,1788244201000000000,0.0006,split_adjusted
80,1788244500000000000,1788244501000000000,-0.0009,split_adjusted
81,1788244800000000000,1788244801000000000,0.0011,split_adjusted
82,1788245100000000000,1788245101000000000,-0.0006,split_adjusted
83,1788245400000000000,1788245401000000000,0.0009,split_adjusted
84,1788245700000000000,1788245701000000000,-0.0010,split_adjusted
85,1788246000000000000,1788246001000000000,0.0007,split_adjusted
86,1788246300000000000,1788246301000000000,-0.0008,split_adjusted
87,1788246600000000000,1788246601000000000,0.0012,split_adjusted
88,1788246900000000000,1788246901000000000,-0.0005,split_adjusted
89,1788247200000000000,1788247201000000000,0.0006,split_adjusted
90,1788247500000000000,1788247501000000000,-0.0009,split_adjusted
91,1788247800000000000,1788247801000000000,0.0011,split_adjusted
92,1788248100000000000,1788248101000000000,-0.0006,split_adjusted
93,1788248400000000000,1788248401000000000,0.0009,split_adjusted
94,1788248700000000000,1788248701000000000,-0.0010,split_adjusted
95,1788249000000000000,1788249001000000000,0.0007,split_adjusted
96,1788249300000000000,1788249301000000000,-0.0008,split_adjusted
97,1788249600000000000,1788249601000000000,0.0012,split_adjusted
98,1788249900000000000,1788249901000000000,-0.0005,split_adjusted
99,1788250200000000000,1788250201000000000,0.0006,split_adjusted
100,1788250500000000000,1788250501000000000,-0.0009,split_adjusted
101,1788250800000000000,1788250801000000000,0.0011,split_adjusted
102,1788251100000000000,1788251101000000000,-0.0006,split_adjusted
103,1788251400000000000,1788251401000000000,0.0009,split_adjusted
104,1788251700000000000,1788251701000000000,-0.0010,split_adjusted
105,1788252000000000000,1788252001000000000,0.0007,split_adjusted
