# TYPE: validation-run
# R006 expected per-bar primary-indicator output, causal recompute [example]
bar,exp_value,exp_state,exp_computed_at,exp_module_state
1,78,calm,1788220800000000000,OK
2,81,calm,1788307200000000000,OK
3,84,calm,1788393600000000000,OK
4,80,calm,1788480000000000000,OK
5,79,calm,1788566400000000000,OK
6,83,calm,1788652800000000000,OK
7,87,calm,1788739200000000000,OK
8,92,normal,1788825600000000000,OK
9,88,normal,1788912000000000000,OK
10,95,normal,1788998400000000000,OK
11,110,normal,1789084800000000000,OK
12,85,calm,1789171200000000000,OK
13,84,calm,1789257600000000000,OK
14,89,calm,1789344000000000000,OK
15,93,normal,1789430400000000000,OK
16,102,normal,1789516800000000000,OK
17,108,normal,1789603200000000000,OK
18,112,stressed,1789689600000000000,OK
19,125,stressed,1789776000000000000,OK
20,138,stressed,1789862400000000000,OK
21,120,stressed,1789948800000000000,OK
22,109,stressed,1790035200000000000,OK
23,106,stressed,1790121600000000000,OK
24,104,normal,1790208000000000000,OK
25,107,normal,1790294400000000000,OK
26,96,normal,1790380800000000000,OK
27,84,calm,1790467200000000000,OK
28,90,calm,1790553600000000000,OK
29,91,normal,1790640000000000000,OK
30,105,normal,1790726400000000000,OK
31,115,stressed,1790812800000000000,OK
32,110,stressed,1790899200000000000,OK
33,99,normal,1790985600000000000,OK
34,112,stressed,1791072000000000000,OK
35,118,stressed,1791158400000000000,OK
