# TYPE: validation-run
# R006 - Vol-of-vol regime: synthetic input tape, seed 9006 [example]
bar,event_ts,asof_ts,vvix,iv30
1,1788220800000000000,1788224400000000000,78,0.208
2,1788307200000000000,1788310800000000000,81,0.212
3,1788393600000000000,1788397200000000000,84,0.208
4,1788480000000000000,1788483600000000000,80,0.212
5,1788566400000000000,1788570000000000000,79,0.208
6,1788652800000000000,1788656400000000000,83,0.212
7,1788739200000000000,1788742800000000000,87,0.208
8,1788825600000000000,1788829200000000000,92,0.212
9,1788912000000000000,1788915600000000000,88,0.208
10,1788998400000000000,1789002000000000000,95,0.212
11,1789084800000000000,1789088400000000000,110,0.208
12,1789171200000000000,1789174800000000000,85,0.212
13,1789257600000000000,1789261200000000000,84,0.208
14,1789344000000000000,1789347600000000000,89,0.212
15,1789430400000000000,1789434000000000000,93,0.208
16,1789516800000000000,1789520400000000000,102,0.18
17,1789603200000000000,1789606800000000000,108,0.26
18,1789689600000000000,1789693200000000000,112,0.18
19,1789776000000000000,1789779600000000000,125,0.26
20,1789862400000000000,1789866000000000000,138,0.18
21,1789948800000000000,1789952400000000000,120,0.26
22,1790035200000000000,1790038800000000000,109,0.18
23,1790121600000000000,1790125200000000000,106,0.26
24,1790208000000000000,1790211600000000000,104,0.18
25,1790294400000000000,1790298000000000000,107,0.26
26,1790380800000000000,1790384400000000000,96,0.18
27,1790467200000000000,1790470800000000000,84,0.26
28,1790553600000000000,1790557200000000000,90,0.18
29,1790640000000000000,1790643600000000000,91,0.26
30,1790726400000000000,1790730000000000000,105,0.18
31,1790812800000000000,1790816400000000000,115,0.26
32,1790899200000000000,1790902800000000000,110,0.18
33,1790985600000000000,1790989200000000000,99,0.26
34,1791072000000000000,1791075600000000000,112,0.18
35,1791158400000000000,1791162000000000000,118,0.26
