# TYPE: validation-run
# R007: expected per-bar detector outputs, computed causally from the tape
# by the v1.1.0 reference implementation (test_R007._process).
bar,event_ts,exp_adx,exp_hurst,exp_hurst63,exp_raw_adx,exp_raw_hurst,exp_state,exp_module_state,exp_computed_at
1,1704229200000000000,nan,nan,nan,,,warming,DEGRADED,1704229200000000000
2,1704315600000000000,nan,nan,nan,,,warming,DEGRADED,1704315600000000000
3,1704402000000000000,nan,nan,nan,,,warming,DEGRADED,1704402000000000000
4,1704488400000000000,nan,nan,nan,,,warming,DEGRADED,1704488400000000000
5,1704574800000000000,nan,nan,nan,,,warming,DEGRADED,1704574800000000000
6,1704661200000000000,nan,nan,nan,,,warming,DEGRADED,1704661200000000000
7,1704747600000000000,nan,nan,nan,,,warming,DEGRADED,1704747600000000000
8,1704834000000000000,nan,nan,nan,,,warming,DEGRADED,1704834000000000000
9,1704920400000000000,nan,nan,nan,,,warming,DEGRADED,1704920400000000000
10,1705006800000000000,nan,nan,nan,,,warming,DEGRADED,1705006800000000000
11,1705093200000000000,nan,nan,nan,,,warming,DEGRADED,1705093200000000000
12,1705179600000000000,nan,nan,nan,,,warming,DEGRADED,1705179600000000000
13,1705266000000000000,nan,nan,nan,,,warming,DEGRADED,1705266000000000000
14,1705352400000000000,nan,nan,nan,,,warming,DEGRADED,1705352400000000000
15,1705438800000000000,nan,nan,nan,,,warming,DEGRADED,1705438800000000000
16,1705525200000000000,nan,nan,nan,,,warming,DEGRADED,1705525200000000000
17,1705611600000000000,nan,nan,nan,,,warming,DEGRADED,1705611600000000000
18,1705698000000000000,nan,nan,nan,,,warming,DEGRADED,1705698000000000000
19,1705784400000000000,nan,nan,nan,,,warming,DEGRADED,1705784400000000000
20,1705870800000000000,nan,-0.008561061153622143,nan,,,warming,DEGRADED,1705870800000000000
21,1705957200000000000,nan,0.20400474007919805,nan,,,warming,DEGRADED,1705957200000000000
22,1706043600000000000,nan,-0.007524971969302866,nan,,,warming,DEGRADED,1706043600000000000
