# TYPE: validation-run
# R007 - Trend-strength regime: synthetic input tape (170 daily HLC bars).
# Deterministic construction via test_R007.gen_tape() (no RNG):
#   bars 1-50  : chop - hard +/-1.5 alternation (strongly anti-persistent)
#   bars 51-110: steady uptrend (+1.0 + 0.3*sin(i) per bar)
#   bars 111-170: chop - hard +/-1.2 alternation
# event_ts = 2024-01-02T21:00:00Z (16:00 ET close) + (bar-1) days; synthetic
# consecutive-day calendar (weekends ignored). All numbers synthetic.
bar,event_ts,asof_ts,h,l,c
1,1704229200000000000,1704232800000000000,101.9,101.1,101.5
2,1704315600000000000,1704319200000000000,98.9,98.1,98.5
3,1704402000000000000,1704405600000000000,101.9,101.1,101.5
4,1704488400000000000,1704492000000000000,98.9,98.1,98.5
5,1704574800000000000,1704578400000000000,101.9,101.1,101.5
6,1704661200000000000,1704664800000000000,98.9,98.1,98.5
7,1704747600000000000,1704751200000000000,101.9,101.1,101.5
8,1704834000000000000,1704837600000000000,98.9,98.1,98.5
9,1704920400000000000,1704924000000000000,101.9,101.1,101.5
10,1705006800000000000,1705010400000000000,98.9,98.1,98.5
11,1705093200000000000,1705096800000000000,101.9,101.1,101.5
12,1705179600000000000,1705183200000000000,98.9,98.1,98.5
13,1705266000000000000,1705269600000000000,101.9,101.1,101.5
14,1705352400000000000,1705356000000000000,98.9,98.1,98.5
15,1705438800000000000,1705442400000000000,101.9,101.1,101.5
16,1705525200000000000,1705528800000000000,98.9,98.1,98.5
17,1705611600000000000,1705615200000000000,101.9,101.1,101.5
18,1705698000000000000,1705701600000000000,98.9,98.1,98.5
19,1705784400000000000,1705788000000000000,101.9,101.1,101.5
20,1705870800000000000,1705874400000000000,98.9,98.1,98.5
21,1705957200000000000,1705960800000000000,101.9,101.1,101.5
22,1706043600000000000,1706047200000000000,98.9,98.1,98.5
23,1706130000000000000,1706133600000000000,101.9,101.1,101.5
24,1706216400000000000,1706220000000000000,98.9,98.1,98.5
25,1706302800000000000,1706306400000000000,101.9,101.1,101.5
26,1706389200000000000,1706392800000000000,98.9,98.1,98.5
27,1706475600000000000,1706479200000000000,101.9,101.1,101.5
28,1706562000000000000,1706565600000000000,98.9,98.1,98.5
29,1706648400000000000,1706652000000000000,101.9,101.1,101.5
30,1706734800000000000,1706738400000000000,98.9,98.1,98.5
31,1706821200000000000,1706824800000000000,101.9,101.1,101.5
32,1706907600000000000,1706911200000000000,98.9,98.1,98.5
33,1706994000000000000,1706997600000000000,101.9,101.1,101.5
34,1707080400000000000,1707084000000000000,98.9,98.1,98.5
35,1707166800000000000,1707170400000000000,101.9,101.1,101.5
36,1707253200000000000,1707256800000000000,98.9,98.1,98.5
37,1707339600000000000,1707343200000000000,101.9,101.1,101.5
38,1707426000000000000,1707429600000000000,98.9,98.1,98.5
39,1707512400000000000,1707516000000000000,101.9,101.1,101.5
40,1707598800000000000,1707602400000000000,98.9,98.1,98.5
41,1707685200000000000,1707688800000000000,101.9,101.1,101.5
42,1707771600000000000,1707775200000000000,98.9,98.1,98.5
43,1707858000000000000,1707861600000000000,101.9,101.1,101.5
44,1707944400000000000,1707948000000000000,98.9,98.1,98.5
45,1708030800000000000,1708034400000000000,101.9,101.1,101.5
46,1708117200000000000,1708120800000000000,98.9,98.1,98.5
47,1708203600000000000,1708207200000000000,101.9,101.1,101.5
48,1708290000000000000,1708293600000000000,98.9,98.1,98.5
49,1708376400000000000,1708380000000000000,101.9,101.1,101.5
50,1708462800000000000,1708466400000000000,98.9,98.1,98.5
51,1708549200000000000,1708552800000000000,100.1011,99.3011,99.7011
52,1708635600000000000,1708639200000000000,101.3971,100.5971,100.9971
53,1708722000000000000,1708725600000000000,102.5158,101.7158,102.1158
54,1708808400000000000,1708812000000000000,103.3482,102.5482,102.9482
55,1708894800000000000,1708898400000000000,104.0483,103.2483,103.6483
56,1708981200000000000,1708984800000000000,104.8918,104.0918,104.4918
57,1709067600000000000,1709071200000000000,106.0227,105.2227,105.6227
58,1709154000000000000,1709157600000000000,107.3205,106.5205,106.9205
59,1709240400000000000,1709244000000000000,108.5115,107.7115,108.1115
60,1709326800000000000,1709330400000000000,109.4201,108.6201,109.0201
61,1709413200000000000,1709416800000000000,110.1303,109.3303,109.7303
62,1709499600000000000,1709503200000000000,110.9085,110.1085,110.5085
63,1709586000000000000,1709589600000000000,111.9587,111.1587,111.5587
64,1709672400000000000,1709676000000000000,113.2347,112.4347,112.8347
65,1709758800000000000,1709762400000000000,114.4828,113.6828,114.0828
66,1709845200000000000,1709848800000000000,115.4748,114.6748,115.0748
67,1709931600000000000,1709935200000000000,116.2181,115.4181,115.8181
68,1710018000000000000,1710021600000000000,116.9488,116.1488,116.5488
69,1710104400000000000,1710108000000000000,117.9143,117.1143,117.5143
70,1710190800000000000,1710194400000000000,119.1465,118.3465,118.7465
71,1710277200000000000,1710280800000000000,120.4318,119.6318,120.0318
72,1710363600000000000,1710367200000000000,121.508,120.708,121.108
73,1710450000000000000,1710453600000000000,122.3049,121.5049,121.9049
74,1710536400000000000,1710540000000000000,123.0094,122.2094,122.6094
75,1710622800000000000,1710626400000000000,123.8931,123.0931,123.4931
76,1710709200000000000,1710712800000000000,125.0629,124.2629,124.6629
77,1710795600000000000,1710799200000000000,126.3627,125.5627,125.9627
78,1710882000000000000,1710885600000000000,127.5169,126.7169,127.1169
79,1710968400000000000,1710972000000000000,128.3837,127.5837,127.9837
80,1711054800000000000,1711058400000000000,129.0855,128.2855,128.6855
81,1711141200000000000,1711144800000000000,129.8966,129.0966,129.4966
82,1711227600000000000,1711231200000000000,130.9905,130.1905,130.5905
83,1711314000000000000,1711317600000000000,132.281,131.481,131.881
84,1711400400000000000,1711404000000000000,133.501,132.701,133.101
85,1711486800000000000,1711490400000000000,134.4482,133.6482,134.0482
86,1711573200000000000,1711576800000000000,135.1711,134.3711,134.7711
87,1711659600000000000,1711663200000000000,135.9246,135.1246,135.5246
88,1711746000000000000,1711749600000000000,136.9352,136.1352,136.5352
89,1711832400000000000,1711836000000000000,138.1932,137.3932,137.7932
90,1711918800000000000,1711922400000000000,139.4614,138.6614,139.0614
91,1712005200000000000,1712008800000000000,140.4932,139.6932,140.0932
92,1712091600000000000,1712095200000000000,141.2594,140.4594,140.8594
93,1712178000000000000,1712181600000000000,141.9749,141.1749,141.5749
94,1712264400000000000,1712268000000000000,142.9013,142.1013,142.5013
95,1712350800000000000,1712354400000000000,144.1063,143.3063,143.7063
96,1712437200000000000,1712440800000000000,145.4014,144.6014,145.0014
97,1712523600000000000,1712527200000000000,146.5153,145.7153,146.1153
98,1712610000000000000,1712613600000000000,147.3433,146.5433,146.9433
99,1712696400000000000,1712700000000000000,148.0435,147.2435,147.6435
100,1712782800000000000,1712786400000000000,148.8916,148.0916,148.4916
101,1712869200000000000,1712872800000000000,150.0272,149.2272,149.6272
102,1712955600000000000,1712959200000000000,151.3256,150.5256,150.9256
103,1713042000000000000,1713045600000000000,152.5125,151.7125,152.1125
104,1713128400000000000,1713132000000000000,153.4161,152.6161,153.0161
105,1713214800000000000,1713218400000000000,154.1249,153.3249,153.7249
106,1713301200000000000,1713304800000000000,154.9067,154.1067,154.5067
107,1713387600000000000,1713391200000000000,155.9622,155.1622,155.5622
