# TYPE: validation-run
# R008: expected indicator values/states, computed causally from the tape
# by the chapter's normative algorithm (test_R008.py reference implementation).
# exp_pct in [0,1] (mid-rank, causal); exp_age = compression age in bars.
bar,event_ts,exp_value,exp_pct,exp_age,exp_state,exp_computed_at,exp_module_state
1,1748822400000000000,nan,nan,0,warming,1748822400000000000,DEGRADED
2,1748908800000000000,nan,nan,0,warming,1748908800000000000,DEGRADED
3,1748995200000000000,nan,nan,0,warming,1748995200000000000,DEGRADED
4,1749081600000000000,nan,nan,0,warming,1749081600000000000,DEGRADED
5,1749168000000000000,nan,nan,0,warming,1749168000000000000,DEGRADED
6,1749427200000000000,nan,nan,0,warming,1749427200000000000,DEGRADED
7,1749513600000000000,nan,nan,0,warming,1749513600000000000,DEGRADED
8,1749600000000000000,nan,nan,0,warming,1749600000000000000,DEGRADED
9,1749686400000000000,nan,nan,0,warming,1749686400000000000,DEGRADED
10,1749772800000000000,nan,nan,0,warming,1749772800000000000,DEGRADED
11,1750032000000000000,nan,nan,0,warming,1750032000000000000,DEGRADED
12,1750118400000000000,nan,nan,0,warming,1750118400000000000,DEGRADED
13,1750204800000000000,nan,nan,0,warming,1750204800000000000,DEGRADED
14,1750377600000000000,nan,nan,0,warming,1750377600000000000,DEGRADED
15,1750636800000000000,nan,nan,0,warming,1750636800000000000,DEGRADED
16,1750723200000000000,nan,nan,0,warming,1750723200000000000,DEGRADED
17,1750809600000000000,nan,nan,0,warming,1750809600000000000,DEGRADED
18,1750896000000000000,nan,nan,0,warming,1750896000000000000,DEGRADED
19,1750982400000000000,nan,nan,0,warming,1750982400000000000,DEGRADED
20,1751241600000000000,nan,nan,0,warming,1751241600000000000,DEGRADED
21,1751328000000000000,nan,nan,0,warming,1751328000000000000,DEGRADED
22,1751414400000000000,nan,nan,0,warming,1751414400000000000,DEGRADED
23,1751500800000000000,nan,nan,0,warming,1751500800000000000,DEGRADED
24,1751846400000000000,nan,nan,0,warming,1751846400000000000,DEGRADED
25,1751932800000000000,nan,nan,0,warming,1751932800000000000,DEGRADED
26,1752019200000000000,nan,nan,0,warming,1752019200000000000,DEGRADED
27,1752105600000000000,nan,nan,0,warming,1752105600000000000,DEGRADED
28,1752192000000000000,nan,nan,0,warming,1752192000000000000,DEGRADED
29,1752451200000000000,nan,nan,0,warming,1752451200000000000,DEGRADED
30,1752537600000000000,nan,nan,0,warming,1752537600000000000,DEGRADED
31,1752624000000000000,nan,nan,0,warming,1752624000000000000,DEGRADED
32,1752710400000000000,nan,nan,0,warming,1752710400000000000,DEGRADED
33,1752796800000000000,nan,nan,0,warming,1752796800000000000,DEGRADED
34,1753056000000000000,nan,nan,0,warming,1753056000000000000,DEGRADED
35,1753142400000000000,nan,nan,0,warming,1753142400000000000,DEGRADED
36,1753228800000000000,nan,nan,0,warming,1753228800000000000,DEGRADED
37,1753315200000000000,nan,nan,0,warming,1753315200000000000,DEGRADED
38,1753401600000000000,nan,nan,0,warming,1753401600000000000,DEGRADED
39,1753660800000000000,nan,nan,0,warming,1753660800000000000,DEGRADED
40,1753747200000000000,nan,nan,0,warming,1753747200000000000,DEGRADED
41,1753833600000000000,nan,nan,0,warming,1753833600000000000,DEGRADED
42,1753920000000000000,nan,nan,0,warming,1753920000000000000,DEGRADED
43,1754006400000000000,nan,nan,0,warming,1754006400000000000,DEGRADED
44,1754265600000000000,nan,nan,0,warming,1754265600000000000,DEGRADED
45,1754352000000000000,nan,nan,0,warming,1754352000000000000,DEGRADED
46,1754438400000000000,nan,nan,0,warming,1754438400000000000,DEGRADED
47,1754524800000000000,nan,nan,0,warming,1754524800000000000,DEGRADED
48,1754611200000000000,nan,nan,0,warming,1754611200000000000,DEGRADED
49,1754870400000000000,nan,nan,0,warming,1754870400000000000,DEGRADED
50,1754956800000000000,nan,nan,0,warming,1754956800000000000,DEGRADED
51,1755043200000000000,nan,nan,0,warming,1755043200000000000,DEGRADED
52,1755129600000000000,nan,nan,0,warming,1755129600000000000,DEGRADED
53,1755216000000000000,nan,nan,0,warming,1755216000000000000,DEGRADED
54,1755475200000000000,nan,nan,0,warming,1755475200000000000,DEGRADED
55,1755561600000000000,nan,nan,0,warming,1755561600000000000,DEGRADED
56,1755648000000000000,nan,nan,0,warming,1755648000000000000,DEGRADED
57,1755734400000000000,nan,nan,0,warming,1755734400000000000,DEGRADED
58,1755820800000000000,nan,nan,0,warming,1755820800000000000,DEGRADED
59,1756080000000000000,nan,nan,0,warming,1756080000000000000,DEGRADED
60,1756166400000000000,nan,nan,0,warming,1756166400000000000,DEGRADED
61,1756252800000000000,nan,nan,0,warming,1756252800000000000,DEGRADED
62,1756339200000000000,nan,nan,0,warming,1756339200000000000,DEGRADED
63,1756425600000000000,nan,nan,0,warming,1756425600000000000,DEGRADED
64,1756771200000000000,nan,nan,0,warming,1756771200000000000,DEGRADED
65,1756857600000000000,nan,nan,0,warming,1756857600000000000,DEGRADED
66,1756944000000000000,nan,nan,0,warming,1756944000000000000,DEGRADED
67,1757030400000000000,nan,nan,0,warming,1757030400000000000,DEGRADED
68,1757289600000000000,nan,nan,0,warming,1757289600000000000,DEGRADED
69,1757376000000000000,nan,nan,0,warming,1757376000000000000,DEGRADED
70,1757462400000000000,nan,nan,0,warming,1757462400000000000,DEGRADED
71,1757548800000000000,nan,nan,0,warming,1757548800000000000,DEGRADED
72,1757635200000000000,nan,nan,0,warming,1757635200000000000,DEGRADED
73,1757894400000000000,nan,nan,0,warming,1757894400000000000,DEGRADED
74,1757980800000000000,nan,nan,0,warming,1757980800000000000,DEGRADED
75,1758067200000000000,nan,nan,0,warming,1758067200000000000,DEGRADED
