# TYPE: validation-run
# R008 - Range compression / expansion (squeeze) regime: synthetic input tape
# 130 trading days 2025-06-02..2025-12-04; phases normal(1-70)/compression(71-100)/
# breakout(101-116)/decay(117-130); noise random.Random(9008) MT19937 [example]
# Fields: bar, event_ts (int64 ns UTC, bar date 00:00), asof_ts, c (adjusted close)
bar,event_ts,asof_ts,c
1,1748822400000000000,1748826000000000000,99.65
2,1748908800000000000,1748912400000000000,99.38
3,1748995200000000000,1748998800000000000,98.93
4,1749081600000000000,1749085200000000000,99.69
5,1749168000000000000,1749171600000000000,99.68
6,1749427200000000000,1749430800000000000,99.03
7,1749513600000000000,1749517200000000000,99.05
8,1749600000000000000,1749603600000000000,99.15
9,1749686400000000000,1749690000000000000,99.83
10,1749772800000000000,1749776400000000000,99.95
11,1750032000000000000,1750035600000000000,99.83
12,1750118400000000000,1750122000000000000,99.29
13,1750204800000000000,1750208400000000000,99.07
14,1750377600000000000,1750381200000000000,99.79
15,1750636800000000000,1750640400000000000,99.89
16,1750723200000000000,1750726800000000000,99.48
17,1750809600000000000,1750813200000000000,99.86
18,1750896000000000000,1750899600000000000,99.85
19,1750982400000000000,1750986000000000000,99.93
20,1751241600000000000,1751245200000000000,100.11
21,1751328000000000000,1751331600000000000,99.48
22,1751414400000000000,1751418000000000000,99.36
23,1751500800000000000,1751504400000000000,99.21
24,1751846400000000000,1751850000000000000,98.94
25,1751932800000000000,1751936400000000000,99.10
26,1752019200000000000,1752022800000000000,98.11
27,1752105600000000000,1752109200000000000,97.91
28,1752192000000000000,1752195600000000000,97.94
29,1752451200000000000,1752454800000000000,98.32
30,1752537600000000000,1752541200000000000,98.55
31,1752624000000000000,1752627600000000000,99.40
32,1752710400000000000,1752714000000000000,99.05
33,1752796800000000000,1752800400000000000,99.18
34,1753056000000000000,1753059600000000000,98.27
35,1753142400000000000,1753146000000000000,98.20
36,1753228800000000000,1753232400000000000,98.73
37,1753315200000000000,1753318800000000000,98.58
38,1753401600000000000,1753405200000000000,98.44
39,1753660800000000000,1753664400000000000,99.12
40,1753747200000000000,1753750800000000000,99.30
41,1753833600000000000,1753837200000000000,99.45
42,1753920000000000000,1753923600000000000,100.03
43,1754006400000000000,1754010000000000000,99.62
44,1754265600000000000,1754269200000000000,99.97
45,1754352000000000000,1754355600000000000,99.83
46,1754438400000000000,1754442000000000000,99.75
47,1754524800000000000,1754528400000000000,100.24
48,1754611200000000000,1754614800000000000,100.32
49,1754870400000000000,1754874000000000000,100.72
50,1754956800000000000,1754960400000000000,100.95
51,1755043200000000000,1755046800000000000,100.93
52,1755129600000000000,1755133200000000000,101.23
53,1755216000000000000,1755219600000000000,101.64
54,1755475200000000000,1755478800000000000,101.76
55,1755561600000000000,1755565200000000000,101.27
56,1755648000000000000,1755651600000000000,100.93
57,1755734400000000000,1755738000000000000,101.39
58,1755820800000000000,1755824400000000000,102.27
59,1756080000000000000,1756083600000000000,102.71
60,1756166400000000000,1756170000000000000,102.80
61,1756252800000000000,1756256400000000000,102.92
62,1756339200000000000,1756342800000000000,102.17
63,1756425600000000000,1756429200000000000,102.52
64,1756771200000000000,1756774800000000000,102.20
65,1756857600000000000,1756861200000000000,101.31
66,1756944000000000000,1756947600000000000,101.93
67,1757030400000000000,1757034000000000000,101.80
68,1757289600000000000,1757293200000000000,101.38
69,1757376000000000000,1757379600000000000,101.46
70,1757462400000000000,1757466000000000000,101.24
71,1757548800000000000,1757552400000000000,101.21
72,1757635200000000000,1757638800000000000,101.23
73,1757894400000000000,1757898000000000000,101.34
74,1757980800000000000,1757984400000000000,101.27
75,1758067200000000000,1758070800000000000,101.40
76,1758153600000000000,1758157200000000000,101.42
77,1758240000000000000,1758243600000000000,101.36
78,1758499200000000000,1758502800000000000,101.40
79,1758585600000000000,1758589200000000000,101.58
80,1758672000000000000,1758675600000000000,101.63
81,1758758400000000000,1758762000000000000,101.74
82,1758844800000000000,1758848400000000000,101.77
83,1759104000000000000,1759107600000000000,101.84
84,1759190400000000000,1759194000000000000,101.87
85,1759276800000000000,1759280400000000000,101.93
86,1759363200000000000,1759366800000000000,101.91
87,1759449600000000000,1759453200000000000,102.00
88,1759708800000000000,1759712400000000000,102.12
89,1759795200000000000,1759798800000000000,102.01
90,1759881600000000000,1759885200000000000,101.92
91,1759968000000000000,1759971600000000000,101.81
92,1760054400000000000,1760058000000000000,102.03
93,1760313600000000000,1760317200000000000,101.70
94,1760400000000000000,1760403600000000000,101.77
95,1760486400000000000,1760490000000000000,101.78
96,1760572800000000000,1760576400000000000,101.56
97,1760659200000000000,1760662800000000000,101.51
98,1760918400000000000,1760922000000000000,101.54
99,1761004800000000000,1761008400000000000,101.47
100,1761091200000000000,1761094800000000000,101.51
101,1761177600000000000,1761181200000000000,104.23
102,1761264000000000000,1761267600000000000,105.60
103,1761523200000000000,1761526800000000000,108.26
104,1761609600000000000,1761613200000000000,107.55
105,1761696000000000000,1761699600000000000,110.54
106,1761782400000000000,1761786000000000000,112.45
107,1761868800000000000,1761872400000000000,110.87
108,1762128000000000000,1762131600000000000,109.82
109,1762214400000000000,1762218000000000000,110.29
110,1762300800000000000,1762304400000000000,109.80
111,1762387200000000000,1762390800000000000,110.29
112,1762473600000000000,1762477200000000000,108.98
113,1762732800000000000,1762736400000000000,111.20
114,1762819200000000000,1762822800000000000,111.37
115,1762905600000000000,1762909200000000000,111.42
116,1762992000000000000,1762995600000000000,111.38
117,1763078400000000000,1763082000000000000,111.23
118,1763337600000000000,1763341200000000000,110.87
119,1763424000000000000,1763427600000000000,111.10
120,1763510400000000000,1763514000000000000,111.07
121,1763596800000000000,1763600400000000000,110.88
122,1763683200000000000,1763686800000000000,111.10
123,1763942400000000000,1763946000000000000,111.27
124,1764028800000000000,1764032400000000000,110.90
125,1764115200000000000,1764118800000000000,110.94
126,1764288000000000000,1764291600000000000,111.14
127,1764547200000000000,1764550800000000000,110.86
128,1764633600000000000,1764637200000000000,110.39
129,1764720000000000000,1764723600000000000,110.24
130,1764806400000000000,1764810000000000000,110.43
