bar,event_ts,exp_value,exp_z,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,nan,indeterminate,1788220800000000000,DEGRADED
2,1788307200000000000,nan,nan,indeterminate,1788307200000000000,DEGRADED
3,1788393600000000000,nan,nan,indeterminate,1788393600000000000,DEGRADED
4,1788480000000000000,nan,nan,indeterminate,1788480000000000000,DEGRADED
5,1788566400000000000,nan,nan,indeterminate,1788566400000000000,DEGRADED
6,1788652800000000000,nan,nan,indeterminate,1788652800000000000,DEGRADED
7,1788739200000000000,nan,nan,indeterminate,1788739200000000000,DEGRADED
8,1788825600000000000,nan,nan,indeterminate,1788825600000000000,DEGRADED
9,1788912000000000000,nan,nan,indeterminate,1788912000000000000,DEGRADED
10,1788998400000000000,nan,nan,indeterminate,1788998400000000000,DEGRADED
11,1789084800000000000,nan,nan,indeterminate,1789084800000000000,DEGRADED
12,1789171200000000000,nan,nan,indeterminate,1789171200000000000,DEGRADED
13,1789257600000000000,0.0521549748,-4.6434733340,mr,1789257600000000000,OK
14,1789344000000000000,0.0449335167,-4.6788511089,mr,1789344000000000000,OK
15,1789430400000000000,0.0521549748,-4.6434733340,mr,1789430400000000000,OK
16,1789516800000000000,0.0504355800,-4.6518966138,mr,1789516800000000000,OK
17,1789603200000000000,0.0521549748,-4.6434733340,mr,1789603200000000000,OK
18,1789689600000000000,0.0449335167,-4.6788511089,mr,1789689600000000000,OK
19,1789776000000000000,0.0572399373,-4.6185622071,mr,1789776000000000000,OK
20,1789862400000000000,0.0550023708,-4.6295239994,mr,1789862400000000000,OK
21,1789948800000000000,0.0667377904,-4.5720324194,mr,1789948800000000000,OK
22,1790035200000000000,0.0618855712,-4.5958033417,mr,1790035200000000000,OK
23,1790121600000000000,0.0655492459,-4.5778550746,mr,1790121600000000000,OK
24,1790208000000000000,0.0468572725,-4.6694266687,mr,1790208000000000000,OK
25,1790294400000000000,0.0520384591,-4.6440441418,mr,1790294400000000000,OK
26,1790380800000000000,0.0520405368,-4.6440339632,mr,1790380800000000000,OK
27,1790467200000000000,0.0556994819,-4.6261088666,mr,1790467200000000000,OK
28,1790553600000000000,0.0557559363,-4.6258322975,mr,1790553600000000000,OK
29,1790640000000000000,0.0621387283,-4.5945631302,mr,1790640000000000000,OK
30,1790726400000000000,0.0504947117,-4.6516069288,mr,1790726400000000000,OK
