bar,event_ts,exp_value,exp_z,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,nan,indeterminate,1788220800000000000,DEGRADED
2,1788307200000000000,nan,nan,indeterminate,1788307200000000000,DEGRADED
3,1788393600000000000,nan,nan,indeterminate,1788393600000000000,DEGRADED
4,1788480000000000000,nan,nan,indeterminate,1788480000000000000,DEGRADED
5,1788566400000000000,nan,nan,indeterminate,1788566400000000000,DEGRADED
6,1788652800000000000,nan,nan,indeterminate,1788652800000000000,DEGRADED
7,1788739200000000000,nan,nan,indeterminate,1788739200000000000,DEGRADED
8,1788825600000000000,nan,nan,indeterminate,1788825600000000000,DEGRADED
9,1788912000000000000,nan,nan,indeterminate,1788912000000000000,DEGRADED
10,1788998400000000000,nan,nan,indeterminate,1788998400000000000,DEGRADED
11,1789084800000000000,nan,nan,indeterminate,1789084800000000000,DEGRADED
12,1789171200000000000,nan,nan,indeterminate,1789171200000000000,DEGRADED
13,1789257600000000000,nan,nan,indeterminate,1789257600000000000,DEGRADED
14,1789344000000000000,nan,nan,indeterminate,1789344000000000000,DEGRADED
15,1789430400000000000,nan,nan,indeterminate,1789430400000000000,DEGRADED
16,1789516800000000000,nan,nan,indeterminate,1789516800000000000,DEGRADED
17,1789603200000000000,nan,nan,indeterminate,1789603200000000000,DEGRADED
18,1789689600000000000,nan,nan,indeterminate,1789689600000000000,DEGRADED
19,1789776000000000000,nan,nan,indeterminate,1789776000000000000,DEGRADED
20,1789862400000000000,nan,nan,indeterminate,1789862400000000000,DEGRADED
21,1789948800000000000,nan,nan,indeterminate,1789948800000000000,DEGRADED
22,1790035200000000000,nan,nan,indeterminate,1790035200000000000,DEGRADED
23,1790121600000000000,nan,nan,indeterminate,1790121600000000000,DEGRADED
24,1790208000000000000,nan,nan,indeterminate,1790208000000000000,DEGRADED
25,1790294400000000000,0.0000000000,-6.9282032303,mr,1790294400000000000,OK
26,1790380800000000000,0.0000000000,-6.9282032303,mr,1790380800000000000,OK
27,1790467200000000000,0.0000000000,-6.9282032303,mr,1790467200000000000,OK
28,1790553600000000000,0.0000000000,-6.9282032303,mr,1790553600000000000,OK
29,1790640000000000000,0.0000000000,-6.9282032303,mr,1790640000000000000,OK
30,1790726400000000000,0.0000000000,-6.9282032303,mr,1790726400000000000,OK
31,1790812800000000000,0.0000000000,-6.9282032303,mr,1790812800000000000,OK
32,1790899200000000000,0.0000000000,-6.9282032303,mr,1790899200000000000,OK
33,1790985600000000000,0.0000000000,-6.9282032303,mr,1790985600000000000,OK
34,1791072000000000000,0.0000000000,-6.9282032303,mr,1791072000000000000,OK
35,1791158400000000000,0.0000000000,-6.9282032303,mr,1791158400000000000,OK
36,1791244800000000000,0.0000000000,-6.9282032303,mr,1791244800000000000,OK
37,1791331200000000000,0.0000000000,-6.9282032303,mr,1791331200000000000,OK
38,1791417600000000000,0.0000000000,-6.9282032303,mr,1791417600000000000,OK
39,1791504000000000000,0.0000000000,-6.9282032303,mr,1791504000000000000,OK
40,1791590400000000000,0.0000000000,-6.9282032303,mr,1791590400000000000,OK
41,1791676800000000000,0.0001037874,-6.9274841704,mr,1791676800000000000,OK
42,1791763200000000000,0.0812232964,-6.3654717260,mr,1791763200000000000,OK
43,1791849600000000000,0.1486404530,-5.8983919636,mr,1791849600000000000,OK
44,1791936000000000000,0.2200049378,-5.4039643092,mr,1791936000000000000,OK
45,1792022400000000000,0.2464718606,-5.2205960896,mr,1792022400000000000,OK
46,1792108800000000000,0.2604800466,-5.1235445300,mr,1792108800000000000,OK
47,1792195200000000000,0.2608119628,-5.1212449470,mr,1792195200000000000,OK
48,1792281600000000000,0.3254929780,-4.6731217288,mr,1792281600000000000,OK
49,1792368000000000000,0.3608451497,-4.4281946982,mr,1792368000000000000,OK
