# TYPE: validation-run
# R009 — Mean-reversion vs momentum dominance: synthetic input tape, seed 9009 [example]
bar,event_ts,asof_ts,c
1,1788220800000000000,1788224400000000000,101.00501670841679
2,1788307200000000000,1788310800000000000,100.20020013340002
3,1788393600000000000,1788397200000000000,100.80320855042734
4,1788480000000000000,1788483600000000000,100.3004504503377
5,1788566400000000000,1788570000000000000,101.00501670841682
6,1788652800000000000,1788656400000000000,100.4008010677342
7,1788739200000000000,1788742800000000000,100.80320855042737
8,1788825600000000000,1788829200000000000,100.30045045033773
9,1788912000000000000,1788915600000000000,101.10607224447199
10,1788998400000000000,1789002000000000000,100.40080106773422
11,1789084800000000000,1789088400000000000,100.9040621773868
12,1789171200000000000,1789174800000000000,100.50125208594014
13,1789257600000000000,1789261200000000000,101.40984589384928
14,1789344000000000000,1789347600000000000,100.60180360540653
15,1789430400000000000,1789434000000000000,101.20722888660782
16,1789516800000000000,1789520400000000000,100.7024557266849
17,1789603200000000000,1789606800000000000,101.40984589384928
18,1789689600000000000,1789693200000000000,100.80320855042739
19,1789776000000000000,1789779600000000000,101.106072244472
20,1789862400000000000,1789866000000000000,100.7024557266849
21,1789948800000000000,1789952400000000000,101.51130646157195
22,1790035200000000000,1790038800000000000,100.90406217738683
23,1790121600000000000,1790125200000000000,101.40984589384928
24,1790208000000000000,1790211600000000000,100.7024557266849
25,1790294400000000000,1790298000000000000,101.30848673598096
26,1790380800000000000,1790384400000000000,100.80320855042739
27,1790467200000000000,1790470800000000000,101.20722888660782
28,1790553600000000000,1790557200000000000,100.90406217738683
29,1790640000000000000,1790643600000000000,101.40984589384928
30,1790726400000000000,1790730000000000000,101.00501670841685
