# TYPE: validation-run
# R010: expected indicator values/states, computed causally from the tape
# QS_bps = 20000*(ask-bid)/(ask+bid) per §R2 [documented]; all synthetic [example], seed 9010
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,2.9995500675,normal,1788220800000000000,OK
2,1788220800000000060,2.2494376518,normal,1788220800000000060,OK
3,1788220800000000120,2.2216779216,normal,1788220800000000120,OK
4,1788220800000000180,3.0761617342,normal,1788220800000000180,OK
5,1788220800000000240,3.0616283979,normal,1788220800000000240,OK
6,1788220800000000300,3.0407357210,normal,1788220800000000300,OK
7,1788220800000000360,3.0335830428,normal,1788220800000000360,OK
8,1788220800000000420,2.9668357820,normal,1788220800000000420,OK
9,1788220800000000480,2.9720435526,normal,1788220800000000480,OK
10,1788220800000000540,2.8771320177,normal,1788220800000000540,OK
