# TYPE: validation-run
# R010 — Spread regime: hysteresis + boundary-value tests vs R010_history.csv
# cfg: wide_pct=50 [default], extreme_pct=90 [default], hyst_band=5 [default]
# pct(tw) = #{h < tw}/100 over history 1.0..100.0; all synthetic [example], seed 9010
day,tw_qs_bps,prev_label,exp_pct,exp_label,note
1,30.5,wide,0.3,normal,release: 30 < 45 -> adopt raw
2,55.5,normal,0.55,wide,worsening adopts immediately
3,48.5,wide,0.48,wide,hysteresis holds: 48 >= 45
4,44.5,wide,0.44,normal,release: 44 < 45
5,92.5,normal,0.92,extreme,worsening adopts immediately
6,87.5,extreme,0.87,extreme,hysteresis holds: 87 >= 85
7,84.5,extreme,0.84,wide,release: 84 < 85
8,50.5,wide,0.5,wide,boundary: pct == 50 -> wide (inclusive)
9,90.5,wide,0.9,extreme,boundary: pct == 90 -> extreme (inclusive)
10,89.5,extreme,0.89,extreme,boundary 89 is raw-wide, hysteresis holds
11,49.5,extreme,0.49,normal,release jumps two levels: 49 < 85
