# TYPE: validation-run
# R010 — Spread regime: synthetic input tape, seed 9010 [example]
bar,event_ts,asof_ts,bid,ask,life
1,1788220800000000000,1788220900000000000,100.0,100.03,100.0
2,1788220800000000060,1788221100000000060,100.02,100.04,300.0
3,1788220800000000120,1788220850000000120,100.01,100.03,50.0
4,1788220800000000180,1788221000000000180,100.0,100.05,200.0
5,1788220800000000240,1788220950000000240,100.03,100.06,150.0
6,1788220800000000300,1788221200000000300,100.02,100.05,400.0
7,1788220800000000360,1788221050000000360,100.01,100.04,250.0
8,1788220800000000420,1788220900000000420,100.04,100.06,100.0
9,1788220800000000480,1788221100000000480,100.02,100.05,300.0
10,1788220800000000540,1788221000000000540,100.03,100.05,200.0
