# TYPE: validation-run
# R011 original tape (regenerated): expected indicator values/states, computed causally
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788220800000000300,0.0002234679,normal,1788220800000000300,OK
3,1788220800000000600,0.0001977673,normal,1788220800000000600,OK
4,1788220800000000900,0.0001930454,normal,1788220800000000900,OK
5,1788220800000001200,0.0002047697,normal,1788220800000001200,OK
6,1788220800000001500,0.0002062741,normal,1788220800000001500,OK
7,1788220800000001800,0.0002067932,normal,1788220800000001800,OK
8,1788220800000002100,0.0002104154,normal,1788220800000002100,OK
9,1788220800000002400,0.0002071015,normal,1788220800000002400,OK
10,1788220800000002700,0.0002072874,normal,1788220800000002700,OK
