# TYPE: validation-run
# R011 gap: expected indicator values/states, computed causally
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1767623400000000000,nan,warming,1767623400000000000,DEGRADED
2,1767624300000000000,0.0003000000,normal,1767624300000000000,OK
3,1767625200000000000,0.0003000000,normal,1767625200000000000,OK
4,1767626100000000000,0.0003000000,normal,1767626100000000000,OK
5,1767633300000000000,0.0003000000,normal,1767633300000000000,DEGRADED
6,1767634200000000000,0.0003000000,normal,1767634200000000000,DEGRADED
7,1767635100000000000,0.0003000000,normal,1767635100000000000,DEGRADED
8,1767636000000000000,0.0003000000,normal,1767636000000000000,DEGRADED
9,1767636900000000000,0.0003000000,normal,1767636900000000000,DEGRADED
10,1767637800000000000,0.0003000000,normal,1767637800000000000,DEGRADED
11,1767638700000000000,0.0003000000,normal,1767638700000000000,DEGRADED
12,1767639600000000000,0.0003000000,normal,1767639600000000000,DEGRADED
13,1767640500000000000,0.0003000000,normal,1767640500000000000,DEGRADED
14,1767641400000000000,0.0003000000,normal,1767641400000000000,OK
15,1767642300000000000,0.0003000000,normal,1767642300000000000,OK
16,1767643200000000000,0.0003000000,normal,1767643200000000000,OK
