# TYPE: validation-run
# R011 feed gap DEGRADED + recovery: synthetic input tape, seed 9011 [example]
bar,event_ts,asof_ts,dp,q,flag
1,1767623400000000000,1767624300000000000,0.03,100,
2,1767624300000000000,1767625200000000000,-0.03,-100,
3,1767625200000000000,1767626100000000000,0.03,100,
4,1767626100000000000,1767627000000000000,-0.03,-100,
5,1767633300000000000,1767634200000000000,0.03,100,
6,1767634200000000000,1767635100000000000,-0.03,-100,
7,1767635100000000000,1767636000000000000,0.03,100,
8,1767636000000000000,1767636900000000000,-0.03,-100,
9,1767636900000000000,1767637800000000000,0.03,100,
10,1767637800000000000,1767638700000000000,-0.03,-100,
11,1767638700000000000,1767639600000000000,0.03,100,
12,1767639600000000000,1767640500000000000,-0.03,-100,
13,1767640500000000000,1767641400000000000,0.03,100,
14,1767641400000000000,1767642300000000000,-0.03,-100,
15,1767642300000000000,1767643200000000000,0.03,100,
16,1767643200000000000,1767644100000000000,-0.03,-100,
