# TYPE: validation-run
# R011 — Depth / liquidity-provision regime: synthetic input tape, seed 9011 [example]
bar,event_ts,asof_ts,dp,q
1,1788220800000000000,1788221100000000000,0.041714,200
2,1788220800000000300,1788221100000000300,-0.020857,-80
3,1788220800000000600,1788221100000000600,0.06257,350
4,1788220800000000900,1788221100000000900,0.010428,40
5,1788220800000001200,1788221100000001200,-0.052142,-220
6,1788220800000001500,1788221100000001500,0.031285,150
7,1788220800000001800,1788221100000001800,-0.010428,-30
8,1788220800000002100,1788221100000002100,0.083427,400
9,1788220800000002400,1788221100000002400,-0.031285,-160
10,1788220800000002700,1788221100000002700,0.020857,90
