# TYPE: validation-run
# R011 transition: expected indicator values/states, computed causally
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1767623400000000000,nan,warming,1767623400000000000,DEGRADED
2,1767624300000000000,0.0001000000,deep,1767624300000000000,OK
3,1767625200000000000,0.0001000000,deep,1767625200000000000,OK
4,1767626100000000000,0.0001000000,deep,1767626100000000000,OK
5,1767627000000000000,0.0001000000,deep,1767627000000000000,OK
6,1767627900000000000,0.0001000000,deep,1767627900000000000,OK
7,1767628800000000000,0.0001000000,deep,1767628800000000000,OK
8,1767629700000000000,0.0001000000,deep,1767629700000000000,OK
9,1767630600000000000,0.0001000000,deep,1767630600000000000,OK
10,1767631500000000000,0.0001000000,deep,1767631500000000000,OK
11,1767632400000000000,0.0001220000,deep,1767632400000000000,OK
12,1767633300000000000,0.0001440000,deep,1767633300000000000,OK
13,1767634200000000000,0.0001660000,deep,1767634200000000000,OK
14,1767635100000000000,0.0001880000,deep,1767635100000000000,OK
15,1767636000000000000,0.0002100000,normal,1767636000000000000,OK
16,1767636900000000000,0.0002320000,normal,1767636900000000000,OK
17,1767637800000000000,0.0002540000,normal,1767637800000000000,OK
18,1767638700000000000,0.0002760000,normal,1767638700000000000,OK
19,1767639600000000000,0.0002980000,normal,1767639600000000000,OK
20,1767640500000000000,0.0003200000,normal,1767640500000000000,OK
21,1767641400000000000,0.0003600000,normal,1767641400000000000,OK
22,1767642300000000000,0.0004000000,normal,1767642300000000000,OK
23,1767643200000000000,0.0004400000,normal,1767643200000000000,OK
24,1767644100000000000,0.0004800000,normal,1767644100000000000,OK
25,1767645000000000000,0.0005200000,stressed,1767645000000000000,OK
26,1767645900000000000,0.0005600000,stressed,1767645900000000000,OK
27,1767646800000000000,0.0006000000,stressed,1767646800000000000,OK
28,1767647700000000000,0.0006400000,stressed,1767647700000000000,OK
29,1767648600000000000,0.0006800000,stressed,1767648600000000000,OK
30,1767649500000000000,0.0007200000,stressed,1767649500000000000,OK
31,1767650400000000000,0.0006880000,stressed,1767650400000000000,OK
32,1767651300000000000,0.0006560000,stressed,1767651300000000000,OK
33,1767652200000000000,0.0006240000,stressed,1767652200000000000,OK
34,1767653100000000000,0.0005920000,stressed,1767653100000000000,OK
35,1767654000000000000,0.0005600000,stressed,1767654000000000000,OK
36,1767654900000000000,0.0005280000,stressed,1767654900000000000,OK
37,1767655800000000000,0.0004960000,stressed,1767655800000000000,OK
38,1767656700000000000,0.0004640000,stressed,1767656700000000000,OK
39,1767657600000000000,0.0004320000,normal,1767657600000000000,OK
40,1767658500000000000,0.0004000000,normal,1767658500000000000,OK
