# TYPE: validation-run
# R011 transition/hysteresis: synthetic input tape, seed 9011 [example]
bar,event_ts,asof_ts,dp,q,flag
1,1767623400000000000,1767624300000000000,0.01,100,
2,1767624300000000000,1767625200000000000,-0.01,-100,
3,1767625200000000000,1767626100000000000,0.01,100,
4,1767626100000000000,1767627000000000000,-0.01,-100,
5,1767627000000000000,1767627900000000000,0.01,100,
6,1767627900000000000,1767628800000000000,-0.01,-100,
7,1767628800000000000,1767629700000000000,0.01,100,
8,1767629700000000000,1767630600000000000,-0.01,-100,
9,1767630600000000000,1767631500000000000,0.01,100,
10,1767631500000000000,1767632400000000000,-0.01,-100,
11,1767632400000000000,1767633300000000000,0.032,100,
12,1767633300000000000,1767634200000000000,-0.032,-100,
13,1767634200000000000,1767635100000000000,0.032,100,
14,1767635100000000000,1767636000000000000,-0.032,-100,
15,1767636000000000000,1767636900000000000,0.032,100,
16,1767636900000000000,1767637800000000000,-0.032,-100,
17,1767637800000000000,1767638700000000000,0.032,100,
18,1767638700000000000,1767639600000000000,-0.032,-100,
19,1767639600000000000,1767640500000000000,0.032,100,
20,1767640500000000000,1767641400000000000,-0.032,-100,
21,1767641400000000000,1767642300000000000,0.07200000000000001,100,
22,1767642300000000000,1767643200000000000,-0.07200000000000001,-100,
23,1767643200000000000,1767644100000000000,0.07200000000000001,100,
24,1767644100000000000,1767645000000000000,-0.07200000000000001,-100,
25,1767645000000000000,1767645900000000000,0.07200000000000001,100,
26,1767645900000000000,1767646800000000000,-0.07200000000000001,-100,
27,1767646800000000000,1767647700000000000,0.07200000000000001,100,
28,1767647700000000000,1767648600000000000,-0.07200000000000001,-100,
29,1767648600000000000,1767649500000000000,0.07200000000000001,100,
30,1767649500000000000,1767650400000000000,-0.07200000000000001,-100,
31,1767650400000000000,1767651300000000000,0.04,100,
32,1767651300000000000,1767652200000000000,-0.04,-100,
33,1767652200000000000,1767653100000000000,0.04,100,
34,1767653100000000000,1767654000000000000,-0.04,-100,
35,1767654000000000000,1767654900000000000,0.04,100,
36,1767654900000000000,1767655800000000000,-0.04,-100,
37,1767655800000000000,1767656700000000000,0.04,100,
38,1767656700000000000,1767657600000000000,-0.04,-100,
39,1767657600000000000,1767658500000000000,0.04,100,
40,1767658500000000000,1767659400000000000,-0.04,-100,
