# TYPE: validation-run
# R012: expected indicator values/states, computed causally from the tape (D=10 trailing mean, 1 missing tolerated)
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.2500000000,warming,1788220800000000000,DEGRADED
2,1788307200000000000,0.2500000000,warming,1788307200000000000,DEGRADED
3,1788393600000000000,0.2500000000,warming,1788393600000000000,DEGRADED
4,1788480000000000000,0.2500000000,warming,1788480000000000000,DEGRADED
5,1788566400000000000,0.2500000000,warming,1788566400000000000,DEGRADED
6,1788652800000000000,0.2500000000,warming,1788652800000000000,DEGRADED
7,1788739200000000000,0.2500000000,warming,1788739200000000000,DEGRADED
8,1788825600000000000,0.2500000000,warming,1788825600000000000,DEGRADED
9,1788912000000000000,0.2500000000,normal,1788912000000000000,OK
10,1788998400000000000,0.2500000000,normal,1788998400000000000,OK
11,1789084800000000000,0.2900000000,normal,1789084800000000000,OK
12,1789171200000000000,0.3300000000,normal,1789171200000000000,OK
13,1789257600000000000,0.3700000000,normal,1789257600000000000,OK
14,1789344000000000000,0.4100000000,normal,1789344000000000000,OK
15,1789430400000000000,0.4500000000,normal,1789430400000000000,OK
16,1789516800000000000,0.5750000000,illiquid,1789516800000000000,OK
17,1789603200000000000,0.7000000000,illiquid,1789603200000000000,OK
18,1789689600000000000,0.8250000000,illiquid,1789689600000000000,OK
19,1789776000000000000,1.2000000000,extreme,1789776000000000000,OK
20,1789862400000000000,1.5750000000,extreme,1789862400000000000,OK
21,1789948800000000000,1.9100000000,extreme,1789948800000000000,OK
22,1790035200000000000,1.8700000000,extreme,1790035200000000000,OK
23,1790121600000000000,1.8300000000,extreme,1790121600000000000,OK
24,1790208000000000000,1.7900000000,extreme,1790208000000000000,OK
25,1790294400000000000,1.7500000000,extreme,1790294400000000000,OK
26,1790380800000000000,1.6900000000,extreme,1790380800000000000,OK
27,1790467200000000000,1.6300000000,extreme,1790467200000000000,OK
28,1790553600000000000,1.5700000000,extreme,1790553600000000000,OK
29,1790640000000000000,1.2600000000,extreme,1790640000000000000,OK
30,1790726400000000000,0.9500000000,extreme,1790726400000000000,OK
31,1790812800000000000,0.6400000000,illiquid,1790812800000000000,OK
32,1790899200000000000,0.7050000000,illiquid,1790899200000000000,OK
33,1790985600000000000,0.7050000000,illiquid,1790985600000000000,OK
34,1791072000000000000,0.7050000000,illiquid,1791072000000000000,OK
35,1791158400000000000,0.7050000000,illiquid,1791158400000000000,OK
36,1791244800000000000,0.6400000000,illiquid,1791244800000000000,OK
37,1791331200000000000,0.5750000000,illiquid,1791331200000000000,OK
38,1791417600000000000,0.5100000000,illiquid,1791417600000000000,OK
39,1791504000000000000,0.4450000000,illiquid,1791504000000000000,OK
40,1791590400000000000,0.3800000000,normal,1791590400000000000,OK
