# TYPE: validation-run
# R012 — Price-impact / Amihud illiquidity regime: synthetic input tape, seed 9012 [example]
# columns: bar, event_ts, asof_ts (int64 ns UTC), absret (close-to-close |R|), vold (dollar volume),
#          o, c, halt (1=trading halt that day), corpact (1=corporate action), adj (1=split/dividend adjusted)
bar,event_ts,asof_ts,absret,vold,o,c,halt,corpact,adj
1,1788220800000000000,1788224400000000000,0.0100000000,39999.9999999996,100.0000000000,101.0050167084,0,0,1
2,1788307200000000000,1788310800000000000,0.0100000000,39999.9999999998,101.0050167084,100.0000000000,0,0,1
3,1788393600000000000,1788397200000000000,0.0100000000,39999.9999999996,100.0000000000,101.0050167084,0,0,1
4,1788480000000000000,1788483600000000000,0.0100000000,39999.9999999998,101.0050167084,100.0000000000,0,0,1
5,1788566400000000000,1788570000000000000,0.0100000000,39999.9999999996,100.0000000000,101.0050167084,0,0,1
6,1788652800000000000,1788656400000000000,0.0100000000,39999.9999999998,101.0050167084,100.0000000000,0,0,1
7,1788739200000000000,1788742800000000000,0.0100000000,39999.9999999996,100.0000000000,101.0050167084,0,0,1
8,1788825600000000000,1788829200000000000,0.0100000000,39999.9999999998,101.0050167084,100.0000000000,0,0,1
9,1788912000000000000,1788915600000000000,0.0100000000,39999.9999999996,100.0000000000,101.0050167084,0,0,1
10,1788998400000000000,1789002000000000000,0.0100000000,39999.9999999998,101.0050167084,100.0000000000,0,0,1
11,1789084800000000000,1789088400000000000,0.0130000000,20000.0000000000,100.0000000000,101.3084867360,0,0,1
12,1789171200000000000,1789174800000000000,0.0130000000,20000.0000000000,101.3084867360,100.0000000000,0,0,1
13,1789257600000000000,1789261200000000000,0.0130000000,20000.0000000000,100.0000000000,101.3084867360,0,0,1
14,1789344000000000000,1789347600000000000,0.0130000000,20000.0000000000,101.3084867360,100.0000000000,0,0,1
15,1789430400000000000,1789434000000000000,0.0130000000,20000.0000000000,100.0000000000,101.3084867360,0,0,1
16,1789516800000000000,1789520400000000000,0.0180000000,12000.0000000000,101.3084867360,99.5012479193,0,0,1
17,1789603200000000000,1789606800000000000,0.0180000000,12000.0000000000,99.5012479193,101.3084867360,0,0,1
18,1789689600000000000,1789693200000000000,0.0180000000,12000.0000000000,101.3084867360,99.5012479193,0,0,1
19,1789776000000000000,1789779600000000000,0.0600000000,15000.0000000000,99.5012479193,105.6540614675,0,0,1
20,1789862400000000000,1789866000000000000,0.0600000000,15000.0000000000,105.6540614675,99.5012479193,0,0,1
21,1789948800000000000,1789952400000000000,0.0600000000,15000.0000000000,99.5012479193,105.6540614675,0,0,1
22,1790035200000000000,1790038800000000000,0.0100000000,39999.9999999998,105.6540614675,104.6027859909,0,0,1
23,1790121600000000000,1790125200000000000,0.0100000000,39999.9999999996,104.6027859909,105.6540614675,0,0,1
24,1790208000000000000,1790211600000000000,0.0100000000,39999.9999999998,105.6540614675,104.6027859909,0,0,1
25,1790294400000000000,1790298000000000000,0.0100000000,39999.9999999996,104.6027859909,105.6540614675,0,0,1
26,1790380800000000000,1790384400000000000,0.0150000000,16666.6666666667,105.6540614675,104.0810774192,0,0,1
27,1790467200000000000,1790470800000000000,0.0150000000,16666.6666666666,104.0810774192,105.6540614675,0,0,1
28,1790553600000000000,1790557200000000000,0.0150000000,16666.6666666667,105.6540614675,104.0810774192,0,0,1
29,1790640000000000000,1790643600000000000,0.0150000000,16666.6666666666,104.0810774192,105.6540614675,0,0,1
30,1790726400000000000,1790730000000000000,0.0150000000,16666.6666666667,105.6540614675,104.0810774192,0,0,1
31,1790812800000000000,1790816400000000000,0.0150000000,16666.6666666666,104.0810774192,105.6540614675,0,0,1
32,1790899200000000000,1790902800000000000,0.0150000000,16666.6666666667,105.6540614675,104.0810774192,0,0,1
33,1790985600000000000,1790989200000000000,0.0100000000,39999.9999999996,104.0810774192,105.1271096376,0,0,1
34,1791072000000000000,1791075600000000000,0.0100000000,39999.9999999998,105.1271096376,104.0810774192,0,0,1
35,1791158400000000000,1791162000000000000,0.0100000000,39999.9999999996,104.0810774192,105.1271096376,0,0,1
36,1791244800000000000,1791248400000000000,0.0100000000,39999.9999999998,105.1271096376,104.0810774192,0,0,1
37,1791331200000000000,1791334800000000000,0.0100000000,39999.9999999996,104.0810774192,105.1271096376,0,0,1
38,1791417600000000000,1791421200000000000,0.0100000000,39999.9999999998,105.1271096376,104.0810774192,0,0,1
39,1791504000000000000,1791507600000000000,0.0100000000,39999.9999999996,104.0810774192,105.1271096376,0,0,1
40,1791590400000000000,1791594000000000000,0.0100000000,39999.9999999998,105.1271096376,104.0810774192,0,0,1
