# TYPE: validation-run
# R013 corporate action: 2:1 split at bar 10; baseline renormalized x2 [default]
bar,event_ts,asof_ts,vol,split_factor
1,1788220800000000000,1788224400000000000,1.1000000000,1.0
2,1788307200000000000,1788310800000000000,0.9000000000,1.0
3,1788393600000000000,1788397200000000000,1.0000000000,1.0
4,1788480000000000000,1788483600000000000,1.2000000000,1.0
5,1788566400000000000,1788570000000000000,0.8000000000,1.0
6,1788652800000000000,1788656400000000000,1.0000000000,1.0
7,1788739200000000000,1788742800000000000,1.1000000000,1.0
8,1788825600000000000,1788829200000000000,0.9500000000,1.0
9,1788912000000000000,1788915600000000000,1.0500000000,1.0
10,1788998400000000000,1789002000000000000,2.0460852573,2.0
