# TYPE: validation-run
# R013 hysteresis: Grok RB2 9-bar baseline then z drivers 2.3/3.2/2.5/1.7/1.2 [example], seed 9013
bar,event_ts,asof_ts,vol
1,1788220800000000000,1788224400000000000,1.1000000000
2,1788307200000000000,1788310800000000000,0.9000000000
3,1788393600000000000,1788397200000000000,1.0000000000
4,1788480000000000000,1788483600000000000,1.2000000000
5,1788566400000000000,1788570000000000000,0.8000000000
6,1788652800000000000,1788656400000000000,1.0000000000
7,1788739200000000000,1788742800000000000,1.1000000000
8,1788825600000000000,1788829200000000000,0.9500000000
9,1788912000000000000,1788915600000000000,1.0500000000
10,1788998400000000000,1789002000000000000,1.2855360148
11,1789084800000000000,1789088400000000000,1.4931926796
12,1789171200000000000,1789174800000000000,1.5604915278
13,1789257600000000000,1789261200000000000,1.5107359683
14,1789344000000000000,1789347600000000000,1.4444014452
