# TYPE: validation-run
# R013 — Abnormal volume / participation regime: synthetic input tape, seed 9013 [example]
bar,event_ts,asof_ts,vol
1,1788220800000000000,1788224400000000000,1.1
2,1788307200000000000,1788310800000000000,0.9
3,1788393600000000000,1788397200000000000,1.0
4,1788480000000000000,1788483600000000000,1.2
5,1788566400000000000,1788570000000000000,0.8
6,1788652800000000000,1788656400000000000,1.0
7,1788739200000000000,1788742800000000000,1.1
8,1788825600000000000,1788829200000000000,0.95
9,1788912000000000000,1788915600000000000,1.05
10,1788998400000000000,1789002000000000000,1.45
