# TYPE: validation-run
# R015 expected: causal detect_series output (Config defaults,
# min_bars=10 [default] -> bars 1-9 DEGRADED/warming, label withheld).
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788220800000000060,nan,warming,1788220800000000060,DEGRADED
3,1788220800000000120,nan,warming,1788220800000000120,DEGRADED
4,1788220800000000180,nan,warming,1788220800000000180,DEGRADED
5,1788220800000000240,nan,warming,1788220800000000240,DEGRADED
6,1788220800000000300,nan,warming,1788220800000000300,DEGRADED
7,1788220800000000360,nan,warming,1788220800000000360,DEGRADED
8,1788220800000000420,nan,warming,1788220800000000420,DEGRADED
9,1788220800000000480,nan,warming,1788220800000000480,DEGRADED
10,1788220800000000540,0.7000000000,constrained,1788220800000000540,OK
