# TYPE: validation-run
# R015 expected gap behavior (Config(min_bars=1) [example]).
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,1.0000000000,constrained,1788220800000000000,OK
2,1788220800000000060,1.0000000000,constrained,1788220800000000060,OK
3,1788220800000000120,1.0000000000,constrained,1788220800000000120,UNKNOWN
4,1788220800000000180,1.0000000000,constrained,1788220800000000180,OK
5,1788220800000000240,0.7500000000,constrained,1788220800000000240,OK
6,1788220800000000300,0.7500000000,constrained,1788220800000000300,UNKNOWN
7,1788220800000000360,0.8000000000,constrained,1788220800000000360,OK
8,1788220800000000420,0.8333333333,constrained,1788220800000000420,OK
9,1788220800000000480,0.8571428571,constrained,1788220800000000480,OK
10,1788220800000000540,0.7500000000,constrained,1788220800000000540,OK
