# TYPE: validation-run
# R015 expected hysteresis labels (Config(min_bars=1) [example]
# so the state machine is pinned from bar 1).
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,1.0000000000,constrained,1788220800000000000,OK
2,1788220800000000060,1.0000000000,constrained,1788220800000000060,OK
3,1788220800000000120,0.6666666667,constrained,1788220800000000120,OK
4,1788220800000000180,0.7500000000,constrained,1788220800000000180,OK
5,1788220800000000240,0.8000000000,constrained,1788220800000000240,OK
6,1788220800000000300,0.6666666667,constrained,1788220800000000300,OK
7,1788220800000000360,0.5714285714,constrained,1788220800000000360,OK
8,1788220800000000420,0.5000000000,intermittent,1788220800000000420,OK
9,1788220800000000480,0.4444444444,intermittent,1788220800000000480,OK
10,1788220800000000540,0.4000000000,intermittent,1788220800000000540,OK
11,1788220800000000600,0.3636363636,intermittent,1788220800000000600,OK
12,1788220800000000660,0.3333333333,intermittent,1788220800000000660,OK
13,1788220800000000720,0.3076923077,intermittent,1788220800000000720,OK
14,1788220800000000780,0.2857142857,unconstrained,1788220800000000780,OK
15,1788220800000000840,0.3333333333,unconstrained,1788220800000000840,OK
16,1788220800000000900,0.3750000000,unconstrained,1788220800000000900,OK
17,1788220800000000960,0.4117647059,unconstrained,1788220800000000960,OK
18,1788220800000001020,0.4444444444,unconstrained,1788220800000001020,OK
19,1788220800000001080,0.4736842105,intermittent,1788220800000001080,OK
