# TYPE: validation-run
# R015 expected split behavior (Config(min_bars=3) [example]).
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788220800000000060,nan,warming,1788220800000000060,DEGRADED
3,1788220800000000120,1.0000000000,constrained,1788220800000000120,OK
4,1788220800000000180,1.0000000000,constrained,1788220800000000180,OK
5,1788220800000000240,1.0000000000,constrained,1788220800000000240,OK
6,1788220800000000300,1.0000000000,constrained,1788220800000000300,OK
7,1788220800000000360,nan,warming,1788220800000000360,DEGRADED
8,1788220800000000420,nan,warming,1788220800000000420,DEGRADED
9,1788220800000000480,nan,warming,1788220800000000480,DEGRADED
10,1788220800000000540,0.0000000000,unconstrained,1788220800000000540,OK
11,1788220800000000600,0.0000000000,unconstrained,1788220800000000600,OK
12,1788220800000000660,0.0000000000,unconstrained,1788220800000000660,OK
