# TYPE: validation-run
# R015 hysteresis pinning tape (seed 9015 [example]). TickBind path:
# 1.00,1.00,0.667,0.75,0.80,0.667,0.571,0.50,0.444,0.40,0.364,
# 0.333,0.308,0.286,0.333,0.375,0.412,0.444,0.474.
# Expected labels: constrained x7 (no flicker at 0.571/0.667),
# intermittent x6, unconstrained x5 (holds to 0.444), intermittent.
# Trade prints track quotes so the clustering verifier never
# strongly disagrees (F3 quiet).
bar,event_ts,asof_ts,bid,ask,tick,trade_px,mkt_state,corp_action
1,1788220800000000000,1788220860000000000,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
2,1788220800000000060,1788220860000000060,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
3,1788220800000000120,1788220860000000120,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
4,1788220800000000180,1788220860000000180,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
5,1788220800000000240,1788220860000000240,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
6,1788220800000000300,1788220860000000300,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
7,1788220800000000360,1788220860000000360,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
8,1788220800000000420,1788220860000000420,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
9,1788220800000000480,1788220860000000480,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
10,1788220800000000540,1788220860000000540,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
11,1788220800000000600,1788220860000000600,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
12,1788220800000000660,1788220860000000660,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
13,1788220800000000720,1788220860000000720,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
14,1788220800000000780,1788220860000000780,99.99,100.01,0.01,100.005,CONTINUOUS_TRADING,0
15,1788220800000000840,1788220860000000840,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
16,1788220800000000900,1788220860000000900,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
17,1788220800000000960,1788220860000000960,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
18,1788220800000001020,1788220860000001020,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
19,1788220800000001080,1788220860000001080,99.995,100.005,0.01,100.0,CONTINUOUS_TRADING,0
