# TYPE: validation-run
# R016: expected indicator values/states, computed causally per the chapter formula (hysteresis-pinned)
# Hysteresis pins: bar 14 v=0.438 stays dark_dominated (exit needs v<0.43); bar 17 v=0.355 stays normal (lit entry needs v<0.35)
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.3000000000,warming,1788220800000000000,DEGRADED
2,1788307200000000000,0.3000000000,warming,1788307200000000000,DEGRADED
3,1788393600000000000,0.3000000000,warming,1788393600000000000,DEGRADED
4,1788480000000000000,0.3200000000,warming,1788480000000000000,DEGRADED
5,1788566400000000000,0.3320000000,lit_dominated,1788566400000000000,OK
6,1788652800000000000,0.3766666667,normal,1788652800000000000,OK
7,1788739200000000000,0.4085714286,normal,1788739200000000000,OK
8,1788825600000000000,0.4325000000,normal,1788825600000000000,OK
9,1788912000000000000,0.4511111111,dark_dominated,1788912000000000000,OK
10,1788998400000000000,0.4660000000,dark_dominated,1788998400000000000,OK
11,1789084800000000000,0.4610000000,dark_dominated,1789084800000000000,OK
12,1789171200000000000,0.4560000000,dark_dominated,1789171200000000000,OK
13,1789257600000000000,0.4510000000,dark_dominated,1789257600000000000,OK
14,1789344000000000000,0.4380000000,dark_dominated,1789344000000000000,OK
15,1789430400000000000,0.4250000000,normal,1789430400000000000,OK
16,1789516800000000000,0.3900000000,normal,1789516800000000000,OK
17,1789603200000000000,0.3550000000,normal,1789603200000000000,OK
18,1789689600000000000,0.3200000000,lit_dominated,1789689600000000000,OK
19,1789776000000000000,0.2850000000,lit_dominated,1789776000000000000,OK
20,1789862400000000000,0.2500000000,lit_dominated,1789862400000000000,OK
