# TYPE: validation-run
# R016 - Fragmentation / off-exchange regime: 20-bar synthetic tape, seed 9016 [example]
# OfEx path: 0.30 x3 (lit) -> 0.38 x2 (normal) -> 0.60 x5 (dark) -> 0.25 x10 (lit); uniform 60-share bars
bar,event_ts,asof_ts,lit,trf
1,1788220800000000000,1788224400000000000,42.0,18.0
2,1788307200000000000,1788310800000000000,42.0,18.0
3,1788393600000000000,1788397200000000000,42.0,18.0
4,1788480000000000000,1788483600000000000,37.2,22.8
5,1788566400000000000,1788570000000000000,37.2,22.8
6,1788652800000000000,1788656400000000000,24.0,36.0
7,1788739200000000000,1788742800000000000,24.0,36.0
8,1788825600000000000,1788829200000000000,24.0,36.0
9,1788912000000000000,1788915600000000000,24.0,36.0
10,1788998400000000000,1789002000000000000,24.0,36.0
11,1789084800000000000,1789088400000000000,45.0,15.0
12,1789171200000000000,1789174800000000000,45.0,15.0
13,1789257600000000000,1789261200000000000,45.0,15.0
14,1789344000000000000,1789347600000000000,45.0,15.0
15,1789430400000000000,1789434000000000000,45.0,15.0
16,1789516800000000000,1789520400000000000,45.0,15.0
17,1789603200000000000,1789606800000000000,45.0,15.0
18,1789689600000000000,1789693200000000000,45.0,15.0
19,1789776000000000000,1789779600000000000,45.0,15.0
20,1789862400000000000,1789866000000000000,45.0,15.0
