# TYPE: validation-run
# R017: expected indicator values/states, computed causally from the tape
# by the normative §R2 reference implementation (test_R017.label_series)
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1787529600000000000,5.0,normal,1787659200000000000,OK
2,1787616000000000000,10.0,tight,1787745600000000000,OK
3,1787702400000000000,24.5,tight,1787832000000000000,OK
4,1787788800000000000,25.0,tight,1787918400000000000,OK
5,1787875200000000000,26.0,stressed,1788004800000000000,OK
6,1787961600000000000,22.0,stressed,1788091200000000000,OK
7,1788048000000000000,21.5,tight,1788177600000000000,OK
8,1788134400000000000,8.5,tight,1788264000000000000,OK
9,1788220800000000000,7.5,normal,1788350400000000000,OK
10,1788307200000000000,45.0,stressed,1788436800000000000,OK
11,1788393600000000000,4.0,normal,1788523200000000000,OK
12,1788480000000000000,4.0,normal,1788523200000000000,DEGRADED
13,1788566400000000000,1.0,normal,1788696000000000000,OK
14,1788652800000000000,15.0,tight,1788782400000000000,UNKNOWN
