# TYPE: validation-run
# R017 — Funding-stress regime: synthetic input tape, seed 9017 [example]
# event_ts = spread value date 00:00 UTC; asof_ts = final vintage (T+1, +36h) [example]
# bar 12: SOFR missing (weekend-style gap) -> DEGRADED carry; bar 14: iorb diverges -> F3
bar,event_ts,asof_ts,sofr,ois,iorb
1,1787529600000000000,1787659200000000000,5.2,5.15,5.14
2,1787616000000000000,1787745600000000000,5.25,5.15,5.14
3,1787702400000000000,1787832000000000000,5.395,5.15,5.14
4,1787788800000000000,1787918400000000000,5.4,5.15,5.14
5,1787875200000000000,1788004800000000000,5.41,5.15,5.14
6,1787961600000000000,1788091200000000000,5.37,5.15,5.14
7,1788048000000000000,1788177600000000000,5.365,5.15,5.14
8,1788134400000000000,1788264000000000000,5.235,5.15,5.14
9,1788220800000000000,1788350400000000000,5.225,5.15,5.14
10,1788307200000000000,1788436800000000000,5.6,5.15,5.14
11,1788393600000000000,1788523200000000000,5.19,5.15,5.14
12,1788480000000000000,1788609600000000000,,5.15,5.14
13,1788566400000000000,1788696000000000000,5.16,5.15,5.14
14,1788652800000000000,1788782400000000000,5.3,5.15,4.0
