# TYPE: validation-run
# R018: expected values/states with hysteresis machine, computed causally from the hysteresis tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788825600000000000,nan,warming,1788825600000000000,DEGRADED
3,1789430400000000000,nan,warming,1789430400000000000,DEGRADED
4,1790035200000000000,1.3000000000,crowded_long,1790035200000000000,OK
5,1790640000000000000,1.0000000000,crowded_long,1790640000000000000,OK
6,1791244800000000000,0.5000000000,normal,1791244800000000000,OK
7,1791849600000000000,-0.2000000000,normal,1791849600000000000,OK
8,1792454400000000000,-1.3000000000,crowded_short,1792454400000000000,OK
9,1793059200000000000,-1.0000000000,crowded_short,1793059200000000000,OK
10,1793664000000000000,-0.5000000000,normal,1793664000000000000,OK
11,1794268800000000000,2.3000000000,extreme_long,1794268800000000000,OK
12,1794873600000000000,1.6000000000,extreme_long,1794873600000000000,OK
13,1795478400000000000,1.4000000000,crowded_long,1795478400000000000,OK
14,1796083200000000000,0.5000000000,normal,1796083200000000000,OK
