# TYPE: validation-run
# R019: expected indicator values/states, computed causally per settlement
# by the chapter's normative detector (see modules/tests/test_R019.py) [example]
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788249600000000000,3.5000000000,balanced,1788249600000000000,OK
3,1788278400000000000,4.6666666667,balanced,1788278400000000000,OK
4,1788307200000000000,8.3333333333,balanced,1788307200000000000,OK
5,1788336000000000000,14.0000000000,leaning,1788336000000000000,OK
6,1788364800000000000,31.6666666667,leaning,1788364800000000000,OK
7,1788393600000000000,35.0000000000,crowded,1788393600000000000,OK
8,1788422400000000000,36.3333333333,crowded,1788422400000000000,OK
9,1788451200000000000,19.6666666667,crowded,1788451200000000000,OK
10,1788480000000000000,15.6666666667,crowded,1788480000000000000,OK
11,1788508800000000000,10.0000000000,leaning,1788508800000000000,OK
12,1788537600000000000,25.2750000000,leaning,1788537600000000000,OK
13,1788566400000000000,41.2750000000,crowded,1788566400000000000,OK
14,1788595200000000000,59.2750000000,crowded,1788595200000000000,OK
15,1788624000000000000,56.6666666667,extreme,1788624000000000000,OK
16,1788652800000000000,51.3333333333,extreme,1788652800000000000,OK
17,1788681600000000000,44.0000000000,extreme,1788681600000000000,OK
18,1788710400000000000,38.0000000000,crowded,1788710400000000000,OK
