# TYPE: validation-run
# R019 — Crypto funding-rate regime: synthetic input tape, seed 9019 [example]
# 18 settlements x 3 venues (54 rows expected); OKX print missing at
# settlement 12 (masked interval, 2-venue mean, never interpolated) [example]
# Per-interval cross-venue mean annualized targets (%): 3,4,7,14,21,60,24,25,10,12,8,55,60,62,48,44,40,30 [example]
bar,event_ts,asof_ts,venue,f_8h
1,1788220800000000000,1788249600000000000,binance,2.9589041095890414e-05
1,1788220800000000000,1788249600000000000,bybit,2.6027397260273973e-05
1,1788220800000000000,1788249600000000000,okx,2.6575342465753424e-05
2,1788249600000000000,1788278400000000000,binance,3.945205479452055e-05
2,1788249600000000000,1788278400000000000,bybit,3.4703196347031966e-05
2,1788249600000000000,1788278400000000000,okx,3.54337899543379e-05
3,1788278400000000000,1788307200000000000,binance,6.904109589041096e-05
3,1788278400000000000,1788307200000000000,bybit,6.073059360730593e-05
3,1788278400000000000,1788307200000000000,okx,6.200913242009133e-05
4,1788307200000000000,1788336000000000000,binance,0.00013808219178082192
4,1788307200000000000,1788336000000000000,bybit,0.00012146118721461186
4,1788307200000000000,1788336000000000000,okx,0.00012401826484018265
5,1788336000000000000,1788364800000000000,binance,0.0002071232876712329
5,1788336000000000000,1788364800000000000,bybit,0.0001821917808219178
5,1788336000000000000,1788364800000000000,okx,0.00018602739726027395
6,1788364800000000000,1788393600000000000,binance,0.0005917808219178082
6,1788364800000000000,1788393600000000000,bybit,0.0005205479452054794
6,1788364800000000000,1788393600000000000,okx,0.0005315068493150684
7,1788393600000000000,1788422400000000000,binance,0.00023671232876712331
7,1788393600000000000,1788422400000000000,bybit,0.00020821917808219178
7,1788393600000000000,1788422400000000000,okx,0.0002126027397260274
8,1788422400000000000,1788451200000000000,binance,0.0002465753424657534
8,1788422400000000000,1788451200000000000,bybit,0.00021689497716894976
8,1788422400000000000,1788451200000000000,okx,0.00022146118721461187
9,1788451200000000000,1788480000000000000,binance,9.863013698630138e-05
9,1788451200000000000,1788480000000000000,bybit,8.67579908675799e-05
9,1788451200000000000,1788480000000000000,okx,8.858447488584475e-05
10,1788480000000000000,1788508800000000000,binance,0.00011835616438356166
10,1788480000000000000,1788508800000000000,bybit,0.00010410958904109589
10,1788480000000000000,1788508800000000000,okx,0.0001063013698630137
11,1788508800000000000,1788537600000000000,binance,7.89041095890411e-05
11,1788508800000000000,1788537600000000000,bybit,6.940639269406393e-05
11,1788508800000000000,1788537600000000000,okx,7.08675799086758e-05
12,1788537600000000000,1788566400000000000,binance,0.0005424657534246575
12,1788537600000000000,1788566400000000000,bybit,0.00047716894977168945
13,1788566400000000000,1788595200000000000,binance,0.0005917808219178082
13,1788566400000000000,1788595200000000000,bybit,0.0005205479452054794
13,1788566400000000000,1788595200000000000,okx,0.0005315068493150684
14,1788595200000000000,1788624000000000000,binance,0.0006115068493150685
14,1788595200000000000,1788624000000000000,bybit,0.0005378995433789954
14,1788595200000000000,1788624000000000000,okx,0.0005492237442922374
15,1788624000000000000,1788652800000000000,binance,0.00047342465753424663
15,1788624000000000000,1788652800000000000,bybit,0.00041643835616438356
15,1788624000000000000,1788652800000000000,okx,0.0004252054794520548
16,1788652800000000000,1788681600000000000,binance,0.00043397260273972605
16,1788652800000000000,1788681600000000000,bybit,0.0003817351598173516
16,1788652800000000000,1788681600000000000,okx,0.0003897716894977169
17,1788681600000000000,1788710400000000000,binance,0.0003945205479452055
17,1788681600000000000,1788710400000000000,bybit,0.0003470319634703196
17,1788681600000000000,1788710400000000000,okx,0.000354337899543379
18,1788710400000000000,1788739200000000000,binance,0.0002958904109589041
18,1788710400000000000,1788739200000000000,bybit,0.0002602739726027397
18,1788710400000000000,1788739200000000000,okx,0.0002657534246575342
