# TYPE: validation-run
# R020 transitions fixture: 10 daily snapshots exercising hysteresis state
# transitions, deadband holds, thin-chain (DEGRADED), spot mismatch (F1 UNKNOWN),
# and halt freeze. All numbers synthetic, seed 9020 [example].
# Columns: snapshot,event_ts,asof_ts,strike,otype,gamma,oi,spot,halt
snapshot,event_ts,asof_ts,strike,otype,gamma,oi,spot,halt
1,1788220800000000000,1788220860000000000,96,P,0.01,10,100.0,0
1,1788220800000000000,1788220860000000000,98,P,0.01,10,100.0,0
1,1788220800000000000,1788220860000000000,100,C,0.04,100,100.0,0
1,1788220800000000000,1788220860000000000,102,C,0.01,10,100.0,0
1,1788220800000000000,1788220860000000000,104,C,0.01,10,100.0,0
2,1788307200000000000,1788307260000000000,96,P,0.01,10,100.0,0
2,1788307200000000000,1788307260000000000,98,P,0.01,10,100.0,0
2,1788307200000000000,1788307260000000000,100,C,0.035,100,100.0,0
2,1788307200000000000,1788307260000000000,102,C,0.01,10,100.0,0
2,1788307200000000000,1788307260000000000,104,P,0.01,100,100.0,0
3,1788393600000000000,1788393660000000000,96,P,0.01,10,100.0,0
3,1788393600000000000,1788393660000000000,98,P,0.02,50,100.0,0
3,1788393600000000000,1788393660000000000,100,C,0.02,50,100.0,0
3,1788393600000000000,1788393660000000000,102,C,0.01,10,100.0,0
3,1788393600000000000,1788393660000000000,104,P,0.01,50,100.0,0
4,1788480000000000000,1788480060000000000,96,P,0.03,100,100.0,0
4,1788480000000000000,1788480060000000000,98,P,0.01,10,100.0,0
4,1788480000000000000,1788480060000000000,100,C,0.02,50,100.0,0
4,1788480000000000000,1788480060000000000,102,C,0.01,10,100.0,0
4,1788480000000000000,1788480060000000000,104,C,0.01,10,100.0,0
5,1788566400000000000,1788566460000000000,96,P,0.035,100,100.0,0
5,1788566400000000000,1788566460000000000,98,C,0.02,50,100.0,0
5,1788566400000000000,1788566460000000000,100,C,0.01,10,100.0,0
5,1788566400000000000,1788566460000000000,102,P,0.01,10,100.0,0
5,1788566400000000000,1788566460000000000,104,P,0.01,10,100.0,0
6,1788652800000000000,1788652860000000000,96,P,0.01,10,100.0,0
6,1788652800000000000,1788652860000000000,98,P,0.01,10,100.0,0
6,1788652800000000000,1788652860000000000,100,C,0.03,50,100.0,0
6,1788652800000000000,1788652860000000000,102,C,0.01,10,100.0,0
6,1788652800000000000,1788652860000000000,104,P,0.01,110,100.0,0
7,1788739200000000000,1788739260000000000,96,P,0.01,10,100.0,0
7,1788739200000000000,1788739260000000000,98,C,0.02,50,100.0,0
7,1788739200000000000,1788739260000000000,100,P,0.03,30,100.0,0
7,1788739200000000000,1788739260000000000,102,C,0.02,50,100.0,0
7,1788739200000000000,1788739260000000000,104,P,0.01,110,100.0,0
7,1788739200000000000,1788739260000000000,106,C,0.05,0,100.0,0
8,1788825600000000000,1788825660000000000,98,P,0.05,100,100.0,0
8,1788825600000000000,1788825660000000000,100,C,0.05,100,100.0,0
8,1788825600000000000,1788825660000000000,102,C,0.02,50,100.0,0
9,1788912000000000000,1788912060000000000,96,P,0.02,100,100.0,0
9,1788912000000000000,1788912060000000000,98,P,0.02,100,100.0,0
9,1788912000000000000,1788912060000000000,100,C,0.03,100,100.0,0
9,1788912000000000000,1788912060000000000,102,C,0.02,100,100.0,0
9,1788912000000000000,1788912060000000000,104,C,0.02,100,101.0,0
10,1788998400000000000,1788998460000000000,96,P,0.02,100,100.0,1
10,1788998400000000000,1788998460000000000,98,P,0.02,100,100.0,1
10,1788998400000000000,1788998460000000000,100,C,0.03,100,100.0,1
10,1788998400000000000,1788998460000000000,102,C,0.02,100,100.0,1
10,1788998400000000000,1788998460000000000,104,C,0.02,100,100.0,1
