# TYPE: validation-run
# R020 transitions: expected per-snapshot values, raw labels, committed
# labels, and module states. Hand-checked anchors live in the test file.
snapshot,exp_value,exp_raw,exp_committed,exp_computed_at,exp_module_state
1,40000.0,long_gamma,long_gamma,1788220800000000000,OK
2,24000.000000000007,long_gamma,long_gamma,1788307200000000000,OK
3,-5000.0,long_gamma,long_gamma,1788393600000000000,OK
4,-19000.0,short_gamma,long_gamma,1788480000000000000,OK
5,-26000.000000000007,short_gamma,short_gamma,1788566400000000000,OK
6,2999.999999999998,neutral,short_gamma,1788652800000000000,OK
7,-1000.0,neutral,neutral,1788739200000000000,OK
8,nan,warming,neutral,1788825600000000000,DEGRADED
9,nan,F1_spot_mismatch,neutral,1788912000000000000,UNKNOWN
10,nan,halt_freeze,neutral,1788998400000000000,UNKNOWN
