# TYPE: validation-run
# R021 hysteresis tape: boundary crossings; v_odd/v_all at constant 50 shares/print [example].
bar,event_ts,asof_ts,market_state,n_odd,n_all,v_odd,v_all,ca_day
1,1789084800000000000,1789171200000000000,TRADING,220,400,11000,20000,0
2,1789171200000000000,1789257600000000000,TRADING,264,400,13200,20000,0
3,1789257600000000000,1789344000000000000,TRADING,252,400,12600,20000,0
4,1789344000000000000,1789430400000000000,TRADING,232,400,11600,20000,0
5,1789430400000000000,1789516800000000000,TRADING,208,400,10400,20000,0
6,1789516800000000000,1789603200000000000,TRADING,176,400,8800,20000,0
7,1789603200000000000,1789689600000000000,TRADING,264,400,13200,20000,0
8,1789689600000000000,1789776000000000000,TRADING,176,400,8800,20000,0
9,1789776000000000000,1789862400000000000,TRADING,200,400,10000,20000,0
10,1789862400000000000,1789948800000000000,TRADING,260,400,13000,20000,0
