# TYPE: validation-run
# R021 hysteresis expected labels with entry/exit bands.
bar,event_ts,exp_value,exp_vol_share,exp_state,exp_computed_at,exp_module_state
1,1789084800000000000,0.5500000000,0.5500000000,mixed,1789084800000000000,OK
2,1789171200000000000,0.6600000000,0.6600000000,retail_dominated,1789171200000000000,OK
3,1789257600000000000,0.6300000000,0.6300000000,retail_dominated,1789257600000000000,OK
4,1789344000000000000,0.5800000000,0.5800000000,mixed,1789344000000000000,OK
5,1789430400000000000,0.5200000000,0.5200000000,mixed,1789430400000000000,OK
6,1789516800000000000,0.4400000000,0.4400000000,baseline,1789516800000000000,OK
7,1789603200000000000,0.6600000000,0.6600000000,retail_dominated,1789603200000000000,OK
8,1789689600000000000,0.4400000000,0.4400000000,baseline,1789689600000000000,OK
9,1789776000000000000,0.5000000000,0.5000000000,baseline,1789776000000000000,OK
10,1789862400000000000,0.6500000000,0.6500000000,retail_dominated,1789862400000000000,OK
