# TYPE: validation-run
# R021 main tape: synthetic odd-lot counts, seed 9021 [example]; v_odd/v_all at constant 50 shares/print so Verifier agreement holds; ca_day=0.
bar,event_ts,asof_ts,market_state,n_odd,n_all,v_odd,v_all,ca_day
1,1788220800000000000,1788307200000000000,TRADING,140,400,7000,20000,0
2,1788307200000000000,1788393600000000000,TRADING,150,420,7500,21000,0
3,1788393600000000000,1788480000000000000,TRADING,145,410,7250,20500,0
4,1788480000000000000,1788566400000000000,TRADING,155,430,7750,21500,0
5,1788566400000000000,1788652800000000000,TRADING,148,415,7400,20750,0
6,1788652800000000000,1788739200000000000,TRADING,160,440,8000,22000,0
7,1788739200000000000,1788825600000000000,TRADING,152,425,7600,21250,0
8,1788825600000000000,1788912000000000000,TRADING,158,432,7900,21600,0
9,1788912000000000000,1788998400000000000,TRADING,150,420,7500,21000,0
10,1788998400000000000,1789084800000000000,TRADING,210,380,10500,19000,0
