# TYPE: validation-run
# R022: expected indicator values/states, computed causally from the tape
# by the chapter's normative algorithm (§R2). module_state: bars 1-2 DEGRADED
# (warm-up, F3 unverifiable); bars 3-20 OK.
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,4.0000000000,elevated,1788220800000000000,DEGRADED
2,1788307200000000000,4.5000000000,elevated,1788307200000000000,DEGRADED
3,1788393600000000000,5.0000000000,squeeze_candidate,1788393600000000000,OK
4,1788480000000000000,5.5000000000,squeeze_candidate,1788480000000000000,OK
5,1788566400000000000,6.0000000000,squeeze_candidate,1788566400000000000,OK
6,1788652800000000000,6.5000000000,squeeze_candidate,1788652800000000000,OK
7,1788739200000000000,7.0000000000,squeeze_candidate,1788739200000000000,OK
8,1788825600000000000,7.5000000000,squeeze_candidate,1788825600000000000,OK
9,1788912000000000000,8.0000000000,squeeze_candidate,1788912000000000000,OK
10,1788998400000000000,8.5000000000,squeeze_candidate,1788998400000000000,OK
11,1789084800000000000,9.0000000000,hard_to_borrow,1789084800000000000,OK
12,1789171200000000000,8.5000000000,hard_to_borrow,1789171200000000000,OK
13,1789257600000000000,8.0000000000,hard_to_borrow,1789257600000000000,OK
14,1789344000000000000,7.5000000000,hard_to_borrow,1789344000000000000,OK
15,1789430400000000000,7.0000000000,squeeze_candidate,1789430400000000000,OK
16,1789516800000000000,6.0000000000,squeeze_candidate,1789516800000000000,OK
17,1789603200000000000,5.2500000000,squeeze_candidate,1789603200000000000,OK
18,1789689600000000000,4.7500000000,squeeze_candidate,1789689600000000000,OK
19,1789776000000000000,4.2500000000,elevated,1789776000000000000,OK
20,1789862400000000000,3.5000000000,elevated,1789862400000000000,OK
