# TYPE: validation-run
# R022 — Hard-to-borrow / short-squeeze regime: synthetic input tape, seed 9022 [example]
# 20 daily bars: ramp elevated -> squeeze_candidate -> hard_to_borrow,
# hysteresis hold (bar 12), hold-gated step-down (bars 13-15, 17-19),
# exact-threshold boundary pins (bars 10, 16). All numbers synthetic.
bar,event_ts,asof_ts,fee_ann,util,si,adv
1,1788220800000000000,1788224400000000000,0.08,0.8,8000000.0,2000000.0
2,1788307200000000000,1788310800000000000,0.1,0.85,9000000.0,2000000.0
3,1788393600000000000,1788397200000000000,0.11,0.9,10000000.0,2000000.0
4,1788480000000000000,1788483600000000000,0.12,0.93,11000000.0,2000000.0
5,1788566400000000000,1788570000000000000,0.12,0.93,12000000.0,2000000.0
6,1788652800000000000,1788656400000000000,0.13,0.94,13000000.0,2000000.0
7,1788739200000000000,1788742800000000000,0.135,0.95,14000000.0,2000000.0
8,1788825600000000000,1788829200000000000,0.14,0.96,15000000.0,2000000.0
9,1788912000000000000,1788915600000000000,0.145,0.965,16000000.0,2000000.0
10,1788998400000000000,1789002000000000000,0.15,0.97,17000000.0,2000000.0
11,1789084800000000000,1789088400000000000,0.16,0.975,18000000.0,2000000.0
12,1789171200000000000,1789174800000000000,0.14,0.96,17000000.0,2000000.0
13,1789257600000000000,1789261200000000000,0.125,0.945,16000000.0,2000000.0
14,1789344000000000000,1789347600000000000,0.115,0.93,15000000.0,2000000.0
15,1789430400000000000,1789434000000000000,0.105,0.91,14000000.0,2000000.0
16,1789516800000000000,1789520400000000000,0.09,0.88,12000000.0,2000000.0
17,1789603200000000000,1789606800000000000,0.075,0.84,10500000.0,2000000.0
18,1789689600000000000,1789693200000000000,0.065,0.8,9500000.0,2000000.0
19,1789776000000000000,1789779600000000000,0.06,0.76,8500000.0,2000000.0
20,1789862400000000000,1789866000000000000,0.055,0.71,7000000.0,2000000.0
