# TYPE: validation-run
# R023 - Liquidation-cascade regime (crypto): synthetic input tape, seed 9023 [example]
bar,event_ts,asof_ts,reported_liq
1,1788220800000000000,1788224400000000000,60000000.0
2,1788307200000000000,1788310800000000000,70000000.0
3,1788393600000000000,1788397200000000000,65000000.0
4,1788480000000000000,1788483600000000000,80000000.0
5,1788566400000000000,1788570000000000000,75000000.0
6,1788652800000000000,1788656400000000000,90000000.0
7,1788739200000000000,1788742800000000000,85000000.0
8,1788825600000000000,1788829200000000000,95000000.0
9,1788912000000000000,1788915600000000000,100000000.0
10,1788998400000000000,1789002000000000000,90000000.0
11,1789084800000000000,1789088400000000000,70000000.0
12,1789171200000000000,1789174800000000000,85000000.0
13,1789257600000000000,1789261200000000000,95000000.0
14,1789344000000000000,1789347600000000000,110000000.0
15,1789430400000000000,1789434000000000000,100000000.0
16,1789516800000000000,1789520400000000000,90000000.0
17,1789603200000000000,1789606800000000000,80000000.0
18,1789689600000000000,1789693200000000000,75000000.0
19,1789776000000000000,1789779600000000000,85000000.0
20,1789862400000000000,1789866000000000000,90000000.0
21,1789948800000000000,1789952400000000000,95000000.0
22,1790035200000000000,1790038800000000000,105000000.0
23,1790121600000000000,1790125200000000000,100000000.0
24,1790208000000000000,1790211600000000000,90000000.0
25,1790294400000000000,1790298000000000000,85000000.0
26,1790380800000000000,1790384400000000000,95000000.0
27,1790467200000000000,1790470800000000000,100000000.0
28,1790553600000000000,1790557200000000000,90000000.0
29,1790640000000000000,1790643600000000000,80000000.0
30,1790726400000000000,1790730000000000000,480000000.0
31,1790812800000000000,1790816400000000000,300000000.0
32,1790899200000000000,1790902800000000000,200000000.0
33,1790985600000000000,1790989200000000000,150000000.0
34,1791072000000000000,1791075600000000000,130000000.0
35,1791158400000000000,1791162000000000000,110000000.0
36,1791244800000000000,1791248400000000000,105000000.0
