# TYPE: validation-run
# R024 — Interest-rate level/direction regime: synthetic input tape, seed 9024 [example]
bar,event_ts,asof_ts,effr_start,effr_implied
1,1788220800000000000,1788224400000000000,4.33,4.35
2,1788307200000000000,1788310800000000000,4.33,4.38
3,1788393600000000000,1788397200000000000,4.33,4.4
4,1788480000000000000,1788483600000000000,4.33,4.42
5,1788566400000000000,1788570000000000000,4.33,4.44
6,1788652800000000000,1788656400000000000,4.33,4.46
7,1788739200000000000,1788742800000000000,4.33,4.47
8,1788825600000000000,1788829200000000000,4.33,4.48
9,1788912000000000000,1788915600000000000,4.33,4.49
10,1788998400000000000,1789002000000000000,4.33,4.5
