# TYPE: validation-run
# R024: expected hysteresis-FSM states for the transitions tape.
# p sequence: 0.10,0.55,0.62,0.57,0.44,-0.10,-0.21,-0.12,-0.03,0.59
# entry hike>=0.6 exit hike<=0.45 | entry cut<=-0.2 exit cut>=-0.05 [default]
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1789084800000000000,0.1000000000,on_hold,1789084800000000000,OK
2,1789171200000000000,0.5500000000,on_hold,1789171200000000000,OK
3,1789257600000000000,0.6200000000,hike_biased,1789257600000000000,OK
4,1789344000000000000,0.5700000000,hike_biased,1789344000000000000,OK
5,1789430400000000000,0.4400000000,on_hold,1789430400000000000,OK
6,1789516800000000000,-0.1000000000,on_hold,1789516800000000000,OK
7,1789603200000000000,-0.2100000000,cut_biased,1789603200000000000,OK
8,1789689600000000000,-0.1200000000,cut_biased,1789689600000000000,OK
9,1789776000000000000,-0.0300000000,on_hold,1789776000000000000,OK
10,1789862400000000000,0.5900000000,on_hold,1789862400000000000,OK
