# TYPE: validation-run
# R024 transitions tape: synthetic ZQ-implied EFFR ramp crafted to pin hysteresis
# entry/exit boundaries, seed 9024 [example]. effr_start fixed at 4.33.
bar,event_ts,asof_ts,effr_start,effr_implied
1,1789084800000000000,1789088400000000000,4.33,4.3550
2,1789171200000000000,1789174800000000000,4.33,4.4675
3,1789257600000000000,1789261200000000000,4.33,4.4850
4,1789344000000000000,1789347600000000000,4.33,4.4725
5,1789430400000000000,1789434000000000000,4.33,4.4400
6,1789516800000000000,1789520400000000000,4.33,4.3050
7,1789603200000000000,1789606800000000000,4.33,4.2775
8,1789689600000000000,1789693200000000000,4.33,4.3000
9,1789776000000000000,1789779600000000000,4.33,4.3225
10,1789862400000000000,1789866000000000000,4.33,4.4775
