# TYPE: validation-run
# R025 — Yield-curve shape regime: synthetic input tape, seed 9025 [example]
bar,event_ts,asof_ts,y10,y2
1,1788220800000000000,1788224400000000000,4.3,4.5
2,1788307200000000000,1788310800000000000,4.25,4.55
3,1788393600000000000,1788397200000000000,4.22,4.6
4,1788480000000000000,1788483600000000000,4.2,4.65
5,1788566400000000000,1788570000000000000,4.18,4.7
6,1788652800000000000,1788656400000000000,4.2,4.72
7,1788739200000000000,1788742800000000000,4.18,4.75
8,1788825600000000000,1788829200000000000,4.18,4.78
9,1788912000000000000,1788915600000000000,4.19,4.79
10,1788998400000000000,1789002000000000000,4.2,4.8
