# TYPE: validation-run
ts_ns,release,z_i,weight,days_ago
1783880400000000000,Claims,1.2,0.15,58.0
1784485200000000000,Retail,0.9,0.2,51.0
1785090000000000000,ISM,1.1,0.25,44.0
1785694800000000000,NFP,1.5,0.3,37.0
1786299600000000000,GDP,0.8,0.1,30.0
1786904400000000000,Claims,-0.3,0.15,23.0
1787509200000000000,Retail,-0.6,0.2,16.0
1787854800000000000,ISM,-1.4,0.25,12.0
1788286800000000000,NFP,-1.8,0.3,7.0
1788632400000000000,Claims,0.4,0.15,3.0
1788675600000000000,NFP,0.9,0.3,2.5
1788718800000000000,Retail,nan,0.2,2.0
1788805200000000000,Retail,0.2,0.2,1.0
1788888000000000000,NFP,0.4,0.3,0.0417
1788891600000000000,Claims,0.5,0.15,0.0
