# TYPE: validation-run
ts_ns,oas,flag
1780272000000000000,320,
1780358400000000000,325,
1780444800000000000,322,
1780531200000000000,360,
1780617600000000000,365,
1780704000000000000,370,
1780790400000000000,380,
1780876800000000000,390,
1780963200000000000,560,
1781049600000000000,520,
1781136000000000000,515,
1781222400000000000,505,
1781308800000000000,495,
1781395200000000000,490,
1781481600000000000,488,
1781568000000000000,480,
1781654400000000000,470,
1781740800000000000,460,
1781827200000000000,295,
1781913600000000000,290,
1782000000000000000,288,
1782086400000000000,,MISSING
1782172800000000000,300,
1782259200000000000,310,
1782345600000000000,320,
1782432000000000000,330,
1782518400000000000,340,
1782604800000000000,350,
1782691200000000000,360,
1782777600000000000,380,
1782864000000000000,400,
1782950400000000000,420,
1783036800000000000,440,
1783123200000000000,460,
1783209600000000000,480,
1783296000000000000,500,
1783382400000000000,540,
1783468800000000000,550,
1783555200000000000,548,
1783641600000000000,552,
1783728000000000000,560,
1783814400000000000,570,
1783900800000000000,575,
1783987200000000000,580,
1784073600000000000,540,
1784160000000000000,520,
1784246400000000000,500,
1784332800000000000,495,
1784419200000000000,488,
1784505600000000000,480,
1784592000000000000,470,
1784678400000000000,460,
1784764800000000000,440,
1784851200000000000,420,
1784937600000000000,400,
1785024000000000000,400,
1785110400000000000,408,
1785196800000000000,416,
1785283200000000000,424,
1785369600000000000,432,
1785456000000000000,440,
1785542400000000000,448,
1785628800000000000,456,
1785715200000000000,464,
1785801600000000000,472,
1785888000000000000,480,
1785974400000000000,488,
1786060800000000000,496,
1786147200000000000,504,
1786233600000000000,512,
1786320000000000000,520,
1786406400000000000,524,
1786492800000000000,528,
1786579200000000000,532,
1786665600000000000,536,
1786752000000000000,540,
1786838400000000000,500,
1786924800000000000,500,
1787011200000000000,500,
1787097600000000000,490,
1787184000000000000,480,
1787270400000000000,470,
1787356800000000000,350,
1787443200000000000,320,
1787529600000000000,300,
1787616000000000000,300,
1787702400000000000,nan,
1787788800000000000,300,HALT
1787875200000000000,300,
1787961600000000000,-5,
