# TYPE: validation-run
ts_ns,dxy,ma50,ma200,pctile
1788901200000000000,104.2,103.5,101.8,0.82
1788987600000000000,99.5,100.2,101.0,0.15
1789074000000000000,102.0,102.1,101.9,0.55
1789160400000000000,103.0,101.9,101.3,0.80
1789246800000000000,,nan,,
1789333200000000000,102.6,101.7,101.3,0.77
1789419600000000000,102.2,101.5,101.2,0.74
1789506000000000000,101.8,100.05,100.10,0.45
1789592400000000000,100.9,99.8,100.0,0.10
1789678800000000000,100.5,99.5,99.75,0.22
1789765200000000000,100.2,99.3,99.6,0.27
1789851600000000000,100.0,99.0,99.5,1.25
1789938000000000000,99.9,98.8,99.3,0.20
