# TYPE: validation-run
# expected states from reference transition() with h=0.5; regenerate if cfg defaults change
ts_ns,state,value,module_state
1788998400000000000,DRIFT,4.0,OK
1789434000000000000,PRE_EVENT,1.0,OK
1789524000000000000,EVENT_DAY,0.0,OK
1789700400000000000,FAR,28.0,OK
1791172800000000000,DRIFT,17.0,OK
1791176400000000000,DRIFT,25.4,OK
1791180000000000000,DRIFT,25.5,OK
1791183600000000000,FAR,25.51,OK
1791187200000000000,DRIFT,25.0,OK
1791190800000000000,PRE_EVENT,2.0,OK
1791194400000000000,PRE_EVENT,2.4,OK
1791198000000000000,PRE_EVENT,2.5,OK
1791201600000000000,DRIFT,2.51,OK
1791205200000000000,PRE_EVENT,0.5,OK
1791208800000000000,EVENT_DAY,0.5,OK
1791212400000000000,EVENT_DAY,0.6,OK
1791216000000000000,PRE_EVENT,1.1,OK
1791219600000000000,EVENT_DAY,-0.02,OK
1791223200000000000,POST_DIGEST,-0.05,OK
1791226800000000000,UNKNOWN,,UNKNOWN
1791158400000000000,PRE_EVENT,1.2,OK
1791162000000000000,DRIFT,30.0,OK
