# TYPE: validation-run
# seed: 42030 | rows 1-5 date-derived tau (trading days, weekends excluded, NYSE holidays ignored fixture-local) | rows 6+ tau_override = synthetic intraday tau pins
ts_ns,asof,event_date,tau_override,market
1788998400000000000,2026-09-10,2026-09-16,,
1789434000000000000,2026-09-15,2026-09-16,,
1789524000000000000,2026-09-16,2026-09-16,,
1789700400000000000,2026-09-18,2026-10-28,,
1791172800000000000,2026-10-05,2026-10-28,,
1791176400000000000,2026-10-05,2026-10-28,25.4,
1791180000000000000,2026-10-05,2026-10-28,25.5,
1791183600000000000,2026-10-05,2026-10-28,25.51,
1791187200000000000,2026-10-05,2026-10-28,25.0,
1791190800000000000,2026-10-05,2026-10-28,2.0,
1791194400000000000,2026-10-05,2026-10-28,2.4,
1791198000000000000,2026-10-05,2026-10-28,2.5,
1791201600000000000,2026-10-05,2026-10-28,2.51,
1791205200000000000,2026-10-05,2026-10-28,0.5,
1791208800000000000,2026-10-05,2026-10-28,0.5,
1791212400000000000,2026-10-05,2026-10-28,0.6,
1791216000000000000,2026-10-05,2026-10-28,1.1,
1791219600000000000,2026-10-05,2026-10-28,-0.02,
1791223200000000000,2026-10-05,2026-10-28,-0.05,
1791226800000000000,2026-10-05,,,
1791158400000000000,2026-10-05,2026-10-28,1.2,
1791162000000000000,2026-10-05,2026-10-28,30.0,
